Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,354.3,174.4,711.2,89980,15520,44710,120.9,20.87,60.1,0.24,0.77,0.23,0,0.0043,0,0.33,46.3
2,5,776.9,242,1717,121900,23650,81850,181.4,35.2,120.9,0.16,0.81,0.19,0,0,0,0.67,45.4
3,6,1487,507,3044,138900,62270,118100,186.7,83.7,158.7,0.12,0.7,0.3,0,0,0,0.88,34.8
4,7,1745,451.6,3249,135200,50760,112700,187.7,70.5,156.6,0.11,0.64,0.36,0,0,0,0.87,30.8
5,8,1194,296.6,2329,138000,24730,107500,185.5,33.24,144.5,0.19,0.71,0.29,0,0,0,0.8,36.9
6,9,674.1,210.4,1175,119600,8827,75880,166.2,12.26,105.4,0.25,0.75,0.25,0,0.016,0,0.59,42.6
7,10,443,164.5,688.7,72950,0,45640,98.05,0,61.34,0.36,0.64,0.36,0.012,0.052,0,0.34,37.1
8,11,304.4,127.3,447.9,42280,0,26930,56.82,0,36.2,0.44,0.55,0.45,0.033,0.17,0,0.2,30.5
9,12,213.4,91.19,301.6,26260,0,17790,36.47,0,24.7,0.46,0.51,0.49,0.1,0.17,0,0.14,29.9
10,1,166.8,73.57,226.1,21290,0,14280,28.62,0,19.2,0.42,0.53,0.47,0.13,0.22,0,0.11,30.1
11,2,174.9,96.35,232.8,23150,1382,17970,32.15,1.919,24.96,0.35,0.64,0.36,0.039,0.078,0,0.14,38.5
12,3,218.7,132.8,309.6,41330,11870,26610,55.56,15.95,35.77,0.28,0.72,0.28,0,0.0022,0,0.2,44.7
