Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0,4480,191,142000,25.6,1100,25.4,0.936,1.87,0.6,0.89,0.92,50.4,1.84
0.01,4240,186,136000,25.6,1100,25.4,0.936,1.87,0.492,0.88,0.75,49.8,0.499
0.02,3710,183,135000,25.6,1100,25.4,0.936,1.87,0.468,0.87,0.71,49.6,0.313
0.03,3450,182,133000,25.6,1100,25.4,0.935,1.87,0.46,0.87,0.692,49.5,0.258
0.04,3200,180,131000,25.5,1100,25.4,0.935,1.87,0.45,0.86,0.666,49.2,0.226
0.05,2960,179,130000,25.5,1100,25.4,0.935,1.87,0.45,0.86,0.65,48.9,0.1
0.06,2910,178,129000,25.5,1100,25.4,0.934,1.87,0.44,0.86,0.63,48.6,0.0333
0.07,2850,176,128000,25.5,1100,25.4,0.934,1.87,0.44,0.85,0.62,48.5,0
0.08,2700,176,127000,25.5,1100,25.3,0.934,1.87,0.44,0.85,0.6,48.1,0
0.09,2580,173,127000,25.5,1100,25.3,0.934,1.87,0.43,0.84,0.59,47.9,0
0.1,2390,173,126000,25.5,1100,25.3,0.934,1.87,0.43,0.84,0.57,47.6,0
0.11,2280,172,124000,25.5,1100,25.3,0.934,1.87,0.43,0.83,0.54,47.5,0
0.12,2140,170,123000,25.5,1100,25.3,0.934,1.87,0.429,0.83,0.51,47.2,0
0.13,2070,169,122000,25.5,1100,25.3,0.934,1.87,0.42,0.82,0.49,47.1,0
0.14,1910,168,121000,25.5,1100,25.3,0.934,1.86,0.42,0.81,0.48,47,0
0.15,1850,167,120000,25.5,1100,25.2,0.933,1.86,0.42,0.81,0.47,46.8,0
0.16,1760,166,119000,25.4,1100,25.2,0.933,1.85,0.41,0.8,0.46,46.5,0
0.17,1720,163,118000,25.4,1090,25.2,0.933,1.81,0.4,0.8,0.45,46.5,0
0.18,1650,161,116000,25.4,1090,25.2,0.933,1.78,0.4,0.79,0.45,46.2,0
0.19,1620,159,115000,25.4,1080,25.1,0.933,1.76,0.4,0.79,0.448,45.9,0
0.2,1490,157,114000,25.4,1060,25.1,0.933,1.7,0.392,0.782,0.44,45.7,0
0.21,1410,155,113000,25.4,1050,25.1,0.932,1.66,0.39,0.78,0.44,45.5,0
0.22,1370,153,111000,25.3,1010,25.1,0.932,1.57,0.39,0.78,0.44,45.2,0
0.23,1340,152,109000,25.3,991,25.1,0.932,1.51,0.38,0.77,0.43,44.9,0
0.24,1300,151,109000,25.3,979,25,0.932,1.47,0.38,0.77,0.43,44.8,0
0.25,1220,147,108000,25.3,955,25,0.931,1.43,0.38,0.762,0.43,44.6,0
0.26,1170,146,107000,25.2,929,24.9,0.931,1.36,0.37,0.76,0.43,44.2,0
0.27,1080,145,105000,25.2,902,24.9,0.93,1.28,0.37,0.76,0.42,43.9,0
0.28,1060,144,103000,25.2,867,24.9,0.93,1.18,0.37,0.75,0.42,43.3,0
