datetime,Year,Month,WaterYear,WaterMonth,WaterWeek,Days,RiverVolume,EFlowVolume,CanalVolume,Energy,Power_max,Power_min,Power_mean,Turbines_max,Turbines_min,Turbines_mean,Flow_mean,Flow_min,Flow_max,FlowAvailableForGeneration_mean,FlowAvailableForGeneration_min,EFlow_mean,EFlow_min,EFlow_max,SpillFlow_mean,SpillFlow_min,SpillFlow_max,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,CanalFlow_mean,CanalFlow_min,CanalFlow_max,HeadPondLevel_mean,HeadPondLevel_min,HeadPondLevel_max,TailwaterLevel_mean,TailwaterLevel_min,TailwaterLevel_max,GrossHead_mean,GrossHead_min,GrossHead_max,LeftChannelHeadloss_mean,LeftChannelHeadloss_min,LeftChannelHeadloss_max,CanalHeadloss_mean,CanalHeadloss_min,CanalHeadloss_max,CanalHeadlossProportion_mean,CanalHeadlossProportion_min,CanalHeadlossProportion_max,TotalHeadloss_mean,TotalHeadloss_min,TotalHeadloss_max,HeadlossProportion_mean,HeadlossProportion_min,HeadlossProportion_max,NetHead_mean,NetHead_min,NetHead_max,UnitEfficiency_mean,UnitEfficiency_min,UnitEfficiency_max,GeneratorEfficiency_mean,GeneratorEfficiency_min,GeneratorEfficiency_max,TotalEfficiency_mean,TotalEfficiency_min,TotalEfficiency_max,UnitPower_mean,UnitPower_min,UnitPower_max,GeneratorPower_mean,GeneratorPower_min,GeneratorPower_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,ShutoffProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
725839200000,1993,1,1992,4,14,3,0.0511,0.0189,0.0322,2004.25,28.73,28.73,27.84,1,1,1,197.3,193.4,201,124.3,120.4,73,73,73,9.474e-15,0,1.421e-14,0.37,0.363,0.378,124.3,120.4,128,990,990,990,964.4,964.4,964.4,25.6,25.6,25.6,0.0928,0.0914,0.0941,0.00631,0.00598,0.00663,0.00025,0.00023,0.00026,0.209,0.202,0.216,0.0082,0.0079,0.0084,25.38,25.38,25.39,0.928,0.925,0.93,0.97,0.97,0.97,0.9,0.897,0.902,28.7,27.72,29.62,27.84,26.89,28.73,0,0,0,0,0,0,0.155,0,0.0189,0.37,0.63,0.37,39.2
726098400000,1993,1,1992,4,14,7,0.133,0.0442,0.0885,5531.85,35.91,35.91,32.93,1,1,1,219.4,205.7,232.5,146.4,132.7,73,73,73,0,0,0,0.333,0.314,0.355,146.4,132.7,159.5,990,990,990,964.5,964.4,964.6,25.5,25.4,25.6,0.101,0.0958,0.105,0.00819,0.00703,0.0093,0.00032,0.00027,0.00037,0.249,0.224,0.272,0.0098,0.0088,0.011,25.23,25.13,25.34,0.937,0.932,0.942,0.97,0.97,0.97,0.909,0.904,0.914,33.95,30.71,37.02,32.93,29.79,35.91,0,0,0,0,0,0,0.183,0,0.0445,0.33,0.67,0.33,41.6
726703200000,1993,1,1992,4,15,7,0.152,0.0442,0.108,6834.47,44.4,44.4,40.68,1,1,1,252.1,237.7,267.7,179.1,164.7,73,73,73,0,0,0,0.29,0.273,0.307,179.1,164.7,194.7,990,990,990,964.7,964.6,964.8,25.3,25.2,25.4,0.112,0.107,0.118,0.011,0.00975,0.0123,0.00043,0.00038,0.00049,0.307,0.282,0.335,0.012,0.011,0.013,24.99,24.89,25.09,0.948,0.943,0.953,0.977,0.972,0.98,0.927,0.917,0.934,41.61,38.23,45.31,40.68,37.17,44.4,0,0,0,0,0,0,0.226,0,0.044,0.29,0.71,0.29,45
727308000000,1993,1,1992,4,16,7,0.181,0.0442,0.137,8426.77,55.99,55.99,50.16,2,1,1.5714285714285714,299.7,272.4,329.3,226.7,199.4,73,73,73,0,-2.842e-14,2.842e-14,0.245,0.222,0.268,226.7,199.4,256.3,990,990,990,964.9,964.8,965,25.1,25,25.2,0.129,0.119,0.139,0.0154,0.0127,0.02,0.00061,0.0005,0.0008,0.3,0.24,0.376,0.012,0.0096,0.015,24.79,24.68,24.87,0.939,0.922,0.958,0.974,0.97,0.98,0.915,0.894,0.939,36.21,25.52,50.58,35.14,24.75,48.2,0,0,0,0,0,0,0.279,0,0.044,0.24,0.76,0.24,46.6
727912800000,1993,1,1992,4,17,7,0.226,0.0442,0.182,11018,72.23,72.23,65.58,2,2,2,373.8,341,405,300.8,268,73,73,73,0,0,0,0.196,0.18,0.214,300.8,268,332,990,990,990,965.3,965.1,965.4,24.7,24.6,24.9,0.155,0.144,0.166,0.041,0.0255,0.0557,0.0017,0.001,0.0023,0.342,0.292,0.388,0.014,0.012,0.016,24.39,24.19,24.6,0.94,0.933,0.945,0.97,0.97,0.97,0.912,0.905,0.917,33.81,30.17,37.23,32.79,29.27,36.11,0,0,0,0,0,0,0.364,0,0.044,0.2,0.81,0.19,48.8
728517600000,1993,2,1992,5,18,7,0.28,0.0514,0.229,13830.3,93.92,93.92,82.32,2,2,2,463.5,417.9,519,378.5,332.9,85,85,85,0,0,0,0.184,0.164,0.203,378.5,332.9,434,990,990,990,965.7,965.5,965.9,24.3,24.1,24.5,0.184,0.167,0.203,0.0777,0.0561,0.104,0.0032,0.0023,0.0043,0.459,0.391,0.543,0.019,0.016,0.023,23.85,23.52,24.13,0.952,0.946,0.957,0.977,0.97,0.98,0.93,0.917,0.938,42.12,37.24,47.92,41.16,36.13,46.96,0,0,0,0,0,0,0.457,0,0.051,0.18,0.82,0.18,49.4
729122400000,1993,2,1992,5,19,7,0.38,0.0514,0.328,18882.5,131.6,131.6,112.4,3,2,2.7142857142857144,627.7,542.3,723.3,542.7,457.3,85,85,85,-8.12e-15,-5.684e-14,0,0.137,0.118,0.157,542.7,457.3,638.3,990,990,990,966.4,966,966.8,23.6,23.2,24,0.258,0.211,0.313,0.165,0.115,0.227,0.007,0.0048,0.0098,0.641,0.554,0.77,0.027,0.023,0.033,22.96,22.44,23.38,0.953,0.947,0.958,0.977,0.97,0.98,0.931,0.919,0.938,43.66,36.61,52.59,42.06,35.51,48.2,0,0,0,0,0,0,0.624,0,0.052,0.14,0.86,0.14,49.7
729727200000,1993,2,1992,5,20,7,0.527,0.0559,0.471,25853.1,169.3,169.3,153.9,4,3,3.5714285714285716,871.3,761.3,1006,778.8,676.3,92.43,85,137,0,0,0,0.106,0.089,0.136,778.8,676.3,870,990,990,990,967.4,966.9,967.9,22.6,22.1,23.1,0.413,0.334,0.501,0.312,0.253,0.36,0.014,0.011,0.016,0.964,0.834,1.1,0.043,0.036,0.05,21.65,20.98,22.22,0.955,0.952,0.957,0.979,0.975,0.98,0.935,0.928,0.938,44.63,39.42,50.39,43.54,38.43,48.2,0,0,0,0,0,0,0.855,0,0.056,0.11,0.89,0.11,49.1
730332000000,1993,2,1992,5,21,7,0.749,0.0829,0.634,31678.3,192.8,192.8,188.6,4,4,4,1238,1060,1415,1101,922.6,137,137,137,53.31,0,178.1,0.112,0.0968,0.129,1048,922.6,1100,990,990,990,968.6,968.1,969.2,21.4,20.8,21.9,0.729,0.55,0.854,0.555,0.386,0.648,0.026,0.018,0.031,1.57,1.19,1.8,0.074,0.054,0.087,19.78,18.99,20.72,0.954,0.952,0.956,0.98,0.98,0.98,0.935,0.933,0.936,48.38,44.79,50.39,47.14,43.89,48.2,0,0,0,0,0,0,1.05,0,0.115,0.11,0.85,0.15,42.3
730936800000,1993,3,1992,6,22,7,0.94,0.111,0.665,31263.9,189.9,189.9,186.1,4,4,4,1555,1449,1662,1372,1266,183,183,183,271.9,166.3,379.2,0.118,0.11,0.126,1100,1100,1100,990,990,990,969.7,969.3,970,20.3,20,20.7,0.898,0.866,0.915,0.648,0.648,0.648,0.032,0.031,0.032,1.85,1.81,1.86,0.091,0.088,0.093,18.49,18.13,18.86,0.952,0.951,0.952,0.98,0.98,0.98,0.933,0.932,0.933,47.47,46.52,48.45,46.52,45.59,47.48,0,0,0,0,0,0,1.03,0,0.275,0.12,0.71,0.29,33.3
731541600000,1993,3,1992,6,23,7,1.1,0.111,0.665,29746.6,181.1,181.1,177.1,4,4,4,1814,1699,1939,1631,1516,183,183,183,531.3,415.8,656.2,0.101,0.0944,0.108,1100,1100,1100,990,990,990,970.5,970.1,970.9,19.5,19.1,19.9,0.924,0.918,0.926,0.648,0.648,0.648,0.033,0.033,0.034,1.87,1.87,1.87,0.096,0.094,0.098,17.63,17.22,18.01,0.95,0.949,0.951,0.98,0.98,0.98,0.931,0.93,0.932,45.17,44.07,46.2,44.27,43.18,45.28,0,0,0,0,0,0,0.984,0,0.435,0.1,0.6,0.4,27
