Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,328.4,162.7,633.8,80500,12770,41010,108.2,17.16,55.13,0.26,0.75,0.25,0.0022,0.0075,0,0.31,45.7
2,5,765,229.9,1639,120700,20060,81300,179.6,29.85,120.1,0.16,0.81,0.19,0,0.0036,0,0.67,45.5
3,6,1426,424.6,2678,141600,51440,117300,190.3,69.14,157.6,0.12,0.7,0.3,0,0,0,0.88,35.1
4,7,2087,444.6,4098,138700,49660,111200,192.6,68.97,154.5,0.1,0.57,0.43,0,0,0,0.86,26.4
5,8,1448,307.5,2563,134800,26380,111900,181.2,35.45,150.4,0.18,0.66,0.34,0,0,0,0.84,33
6,9,763.9,209.5,1235,121600,8360,83750,168.8,11.61,116.3,0.24,0.76,0.24,0,0.017,0,0.65,42
7,10,484.6,161,702.1,74760,0,50320,100.5,0,67.63,0.36,0.64,0.36,0.016,0.033,0,0.38,37.8
8,11,327.9,123.2,455.6,43460,0,29140,58.41,0,39.16,0.44,0.56,0.44,0.032,0.14,0,0.22,31.1
9,12,230,88.92,316.7,28600,0,19580,39.73,0,27.19,0.45,0.53,0.47,0.067,0.13,0,0.15,31.1
10,1,179.1,71.57,241,22700,0,15110,30.51,0,20.31,0.43,0.54,0.46,0.081,0.2,0,0.11,29.8
11,2,181.3,92.03,243,24200,324.8,18160,33.61,0.4512,25.23,0.35,0.64,0.36,0.029,0.091,0,0.14,37.6
12,3,217.9,126.5,305,38690,10220,26430,52.01,13.73,35.52,0.29,0.71,0.29,0,0.0054,0,0.2,44.5
