Exceedance,Energy,RiverVolume,CapFactor,EFlowProportion,SpecificEnergy,ShutoffDaysProportion
0,805.8,23.1,0.511,0.59,44.8,1.21
0.01,805.2,22.9,0.511,0.569,44.6,1.17
0.02,804.7,22.6,0.51,0.548,44.4,1.12
0.03,804.1,22.4,0.51,0.527,44.2,1.07
0.04,797.9,22.2,0.506,0.492,44,0.953
0.05,789,22,0.5,0.45,43.8,0.801
0.06,780.1,21.7,0.495,0.408,43.5,0.649
0.07,773.8,21.6,0.491,0.377,43.4,0.538
0.08,772.8,21.6,0.49,0.368,43.3,0.508
0.09,771.9,21.5,0.49,0.359,43.3,0.479
0.1,770.9,21.5,0.489,0.35,43.2,0.449
0.11,769.7,21.3,0.488,0.344,43,0.416
0.12,768.6,21.1,0.487,0.338,42.7,0.384
0.13,767.4,21,0.486,0.332,42.5,0.351
0.14,766.2,20.9,0.486,0.328,42.4,0.339
0.15,765,20.9,0.485,0.325,42.3,0.337
0.16,763.8,20.8,0.484,0.322,42.3,0.335
0.17,757.2,20.8,0.48,0.319,42.3,0.333
0.18,739.6,20.6,0.469,0.316,42.3,0.331
0.19,722.1,20.5,0.458,0.313,42.2,0.328
0.2,704.6,20.3,0.447,0.31,42.2,0.326
0.21,704.2,19.9,0.447,0.307,42.2,0.32
0.22,703.9,19.5,0.446,0.304,42.2,0.315
0.23,703.5,19.1,0.446,0.301,42.2,0.309
0.24,699.6,19,0.444,0.3,42.2,0.304
0.25,693.9,19,0.44,0.3,42.2,0.299
0.26,688.2,19,0.436,0.3,42.2,0.294
0.27,684,18.7,0.434,0.299,42.1,0.29
0.28,682.7,18,0.433,0.296,41.8,0.287
0.29,681.5,17.2,0.432,0.293,41.5,0.285
0.3,680.2,16.4,0.431,0.29,41.2,0.282
0.31,669.6,16.3,0.424,0.281,41.1,0.273
0.32,659.1,16.2,0.418,0.272,41,0.264
0.33,648.5,16.1,0.411,0.263,40.8,0.255
0.34,644.2,16,0.408,0.258,40.7,0.25
0.35,642.9,15.9,0.407,0.255,40.5,0.247
0.36,641.6,15.8,0.407,0.252,40.4,0.243
0.37,639.8,15.6,0.405,0.25,40.3,0.236
0.38,636.9,15.5,0.404,0.25,40.2,0.221
0.39,634,15.3,0.402,0.25,40.2,0.207
0.4,631.1,15.2,0.4,0.25,40.1,0.192
0.41,626.7,15.1,0.397,0.241,40,0.188
0.42,622.3,15,0.395,0.232,39.9,0.185
0.43,617.9,14.8,0.392,0.223,39.8,0.182
0.44,610.9,14.8,0.387,0.218,39.7,0.152
0.45,602.5,14.7,0.382,0.215,39.6,0.11
0.46,594.2,14.6,0.377,0.212,39.5,0.0668
0.47,587.9,14.6,0.372,0.21,39.4,0.0375
0.48,585.5,14.5,0.371,0.21,39.3,0.0351
0.49,583,14.5,0.369,0.21,39.2,0.0326
0.5,580.6,14.4,0.368,0.21,39.1,0.0301
0.51,580.5,14.3,0.368,0.207,39,0.0285
0.52,580.4,14.2,0.368,0.204,38.8,0.0268
0.53,580.3,14.1,0.368,0.201,38.6,0.0252
0.54,577.4,13.9,0.366,0.2,38.5,0.0208
0.55,573.1,13.6,0.363,0.2,38.3,0.0151
0.56,568.9,13.3,0.361,0.2,38.1,0.00932
0.57,561,13,0.356,0.2,38,0.00493
0.58,546,12.5,0.346,0.2,37.8,0.00329
0.59,530.9,12.1,0.337,0.2,37.6,0.00164
0.6,515.9,11.7,0.327,0.2,37.5,0
0.61,505.5,11.7,0.32,0.2,37.4,0
0.62,495.1,11.6,0.314,0.2,37.3,0
0.63,484.7,11.6,0.307,0.2,37.1,0
0.64,479.6,11.6,0.304,0.198,37.1,0
0.65,477.3,11.5,0.302,0.195,37,0
0.66,475,11.4,0.301,0.192,37,0
0.67,465.2,11.2,0.295,0.19,37,0
0.68,440.7,10.8,0.279,0.19,37,0
0.69,416.1,10.3,0.264,0.19,37,0
0.7,391.6,9.83,0.248,0.19,37,0
0.71,390.4,9.81,0.247,0.187,36.6,0
0.72,389.1,9.79,0.247,0.184,36.3,0
0.73,387.9,9.78,0.246,0.181,35.9,0
0.74,379.3,9.66,0.241,0.18,35.7,0
0.75,367,9.5,0.233,0.18,35.6,0
0.76,354.7,9.34,0.225,0.18,35.6,0
0.77,346.1,9.23,0.22,0.18,35.4,0
0.78,344.7,9.22,0.219,0.18,35.2,0
0.79,343.4,9.22,0.218,0.18,34.9,0
0.8,342.1,9.21,0.217,0.18,34.7,0
0.81,339.9,9.16,0.215,0.18,34.6,0
0.82,337.7,9.11,0.214,0.18,34.5,0
0.83,335.4,9.06,0.212,0.18,34.4,0
0.84,330.4,8.92,0.209,0.18,34.3,0
0.85,323.9,8.75,0.206,0.18,34.1,0
0.86,317.5,8.58,0.202,0.18,34,0
0.87,309.4,8.41,0.197,0.18,33.8,0
0.88,298.2,8.26,0.189,0.18,33.6,0
0.89,286.9,8.1,0.182,0.18,33.4,0
0.9,275.6,7.95,0.175,0.18,33.2,0
0.91,227.7,7.19,0.145,0.177,32.1,0
0.92,179.9,6.44,0.114,0.174,31,0
0.93,132,5.68,0.0837,0.171,30,0
0.94,109.7,5.29,0.0695,0.17,28,0
0.95,100,5.09,0.0634,0.17,25.5,0
0.96,90.33,4.88,0.0573,0.17,23,0
0.97,81.67,4.41,0.0518,0.17,21,0
0.98,74.99,3.41,0.0476,0.17,19.9,0
0.99,68.32,2.42,0.0433,0.17,18.8,0
1,61.64,1.42,0.0391,0.17,17.7,0
