Exceedance,Energy,RiverVolume,CapFactor,EFlowProportion,SpecificEnergy,ShutoffDaysProportion
0,850.7,24.7,0.539,0.52,45.4,1.01
0.01,847.6,24.7,0.537,0.505,45.1,0.936
0.02,844.6,24.6,0.535,0.49,44.8,0.866
0.03,841.5,24.6,0.534,0.475,44.5,0.796
0.04,833.1,24.4,0.528,0.446,44.3,0.707
0.05,822.1,24.1,0.522,0.41,44.1,0.608
0.06,811.1,23.9,0.515,0.374,44,0.51
0.07,803.3,23.6,0.51,0.349,43.9,0.444
0.08,801.9,23.3,0.509,0.346,43.8,0.444
0.09,800.6,23,0.508,0.343,43.8,0.444
0.1,799.3,22.7,0.507,0.34,43.7,0.444
0.11,799.2,22.3,0.507,0.331,43.6,0.422
0.12,799.1,22,0.507,0.322,43.6,0.401
0.13,798.9,21.6,0.507,0.313,43.5,0.38
0.14,794.8,21.5,0.504,0.308,43.5,0.353
0.15,788.6,21.4,0.5,0.305,43.5,0.323
0.16,782.4,21.4,0.497,0.302,43.4,0.294
0.17,778,21.4,0.494,0.299,43.4,0.273
0.18,777.1,21.4,0.493,0.296,43.4,0.268
0.19,776.2,21.3,0.493,0.293,43.4,0.264
0.2,775.3,21.3,0.492,0.29,43.4,0.26
0.21,767.1,21.2,0.487,0.287,43.3,0.258
0.22,758.9,21,0.481,0.284,43.2,0.255
0.23,750.7,20.9,0.476,0.281,43.1,0.253
0.24,744.5,20.7,0.472,0.276,43,0.25
0.25,739.3,20.5,0.469,0.27,42.9,0.247
0.26,734.1,20.2,0.465,0.264,42.7,0.243
0.27,730,20,0.463,0.26,42.6,0.241
0.28,728.3,19.7,0.462,0.26,42.6,0.24
0.29,726.5,19.4,0.461,0.26,42.6,0.239
0.3,724.8,19.1,0.46,0.26,42.6,0.238
0.31,719.8,18.8,0.457,0.254,42.5,0.217
0.32,714.8,18.4,0.453,0.248,42.3,0.196
0.33,709.8,18.1,0.45,0.242,42.1,0.174
0.34,704.8,17.9,0.447,0.24,42.1,0.165
0.35,700,17.7,0.444,0.24,42,0.163
0.36,695.1,17.5,0.441,0.24,41.9,0.161
0.37,691.6,17.3,0.439,0.24,41.9,0.154
0.38,691,17,0.439,0.24,41.9,0.138
0.39,690.5,16.7,0.438,0.24,41.9,0.122
0.4,689.9,16.4,0.438,0.24,41.9,0.107
0.41,678.5,15.9,0.431,0.237,41.5,0.0945
0.42,667.2,15.4,0.423,0.234,41.2,0.0822
0.43,655.8,14.9,0.416,0.231,40.8,0.0699
0.44,651.4,14.6,0.413,0.228,40.4,0.0614
0.45,650.4,14.6,0.412,0.225,40,0.0548
0.46,649.4,14.5,0.411,0.222,39.7,0.0482
0.47,645.3,14.4,0.409,0.218,39.4,0.0433
0.48,634.7,14.4,0.402,0.212,39.4,0.0416
0.49,624.2,14.3,0.396,0.206,39.3,0.04
0.5,613.6,14.3,0.389,0.2,39.3,0.0384
0.51,608.7,14.1,0.386,0.2,39.2,0.0342
0.52,603.9,13.9,0.383,0.2,39.2,0.0301
0.53,599,13.7,0.38,0.2,39.1,0.026
0.54,586.7,13.4,0.372,0.198,39.1,0.0236
0.55,570.5,13,0.362,0.195,39.1,0.0219
0.56,554.4,12.7,0.352,0.192,39.1,0.0203
0.57,543.5,12.5,0.345,0.19,39,0.0186
0.58,542.7,12.5,0.344,0.19,38.5,0.017
0.59,542,12.5,0.344,0.19,38.1,0.0153
0.6,541.3,12.5,0.343,0.19,37.7,0.0137
0.61,538.8,12.5,0.342,0.19,37.6,0.0104
0.62,536.4,12.4,0.34,0.19,37.4,0.00712
0.63,533.9,12.4,0.339,0.19,37.3,0.00384
0.64,532.4,12.4,0.338,0.19,37.2,0.00274
0.65,531.4,12.3,0.337,0.19,37.2,0.00274
0.66,530.4,12.2,0.336,0.19,37.2,0.00274
0.67,522.9,12.1,0.332,0.19,37.1,0.00247
0.68,502.4,11.7,0.319,0.19,36.8,0.00164
0.69,481.9,11.4,0.306,0.19,36.5,0.000822
0.7,461.4,11,0.293,0.19,36.2,4.87e-18
0.71,461.2,11,0.293,0.187,36.1,0
0.72,460.9,11,0.292,0.184,36,0
0.73,460.7,11,0.292,0.181,35.9,0
0.74,447.8,10.8,0.284,0.18,35.9,0
0.75,428.6,10.6,0.272,0.18,35.9,0
0.76,409.4,10.3,0.26,0.18,35.9,0
0.77,396,10.1,0.252,0.179,35.8,0
0.78,394.1,10,0.25,0.176,35.6,0
0.79,392.2,9.97,0.248,0.173,35.3,0
0.8,390.3,9.91,0.247,0.17,35.1,0
0.81,388.7,9.89,0.246,0.17,34.9,0
0.82,387.2,9.87,0.245,0.17,34.6,0
0.83,385.6,9.85,0.244,0.17,34.4,0
0.84,371.7,9.59,0.236,0.17,34.2,0
0.85,351.7,9.21,0.223,0.17,34.1,0
0.86,331.7,8.82,0.21,0.17,34,0
0.87,317.2,8.57,0.201,0.17,33.8,0
0.88,314,8.57,0.199,0.17,33.3,0
0.89,310.7,8.56,0.197,0.17,32.9,0
0.9,307.5,8.56,0.195,0.17,32.5,0
0.91,263.2,7.83,0.167,0.167,32.5,0
0.92,218.9,7.11,0.139,0.164,32.4,0
0.93,174.6,6.38,0.11,0.161,32.4,0
0.94,156.4,6.01,0.0989,0.16,31.1,0
0.95,151.4,5.81,0.0959,0.16,29.3,0
0.96,146.4,5.6,0.0928,0.16,27.4,0
0.97,134.8,5.06,0.0855,0.16,26.1,0
0.98,110.1,3.84,0.0698,0.16,26.1,0
0.99,85.41,2.62,0.0542,0.16,26,0
1,60.73,1.4,0.0385,0.16,26,0
