datetime,Year,Month,WaterYear,WaterMonth,WaterWeek,Days,RiverVolume,EFlowVolume,CanalVolume,Energy,Power_max,Power_min,Power_mean,Turbines_max,Turbines_min,Turbines_mean,Flow_mean,Flow_min,Flow_max,FlowAvailableForGeneration_mean,FlowAvailableForGeneration_min,EFlow_mean,EFlow_min,EFlow_max,SpillFlow_mean,SpillFlow_min,SpillFlow_max,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,CanalFlow_mean,CanalFlow_min,CanalFlow_max,HeadPondLevel_mean,HeadPondLevel_min,HeadPondLevel_max,TailwaterLevel_mean,TailwaterLevel_min,TailwaterLevel_max,GrossHead_mean,GrossHead_min,GrossHead_max,LeftChannelHeadloss_mean,LeftChannelHeadloss_min,LeftChannelHeadloss_max,CanalHeadloss_mean,CanalHeadloss_min,CanalHeadloss_max,CanalHeadlossProportion_mean,CanalHeadlossProportion_min,CanalHeadlossProportion_max,TotalHeadloss_mean,TotalHeadloss_min,TotalHeadloss_max,HeadlossProportion_mean,HeadlossProportion_min,HeadlossProportion_max,NetHead_mean,NetHead_min,NetHead_max,UnitEfficiency_mean,UnitEfficiency_min,UnitEfficiency_max,GeneratorEfficiency_mean,GeneratorEfficiency_min,GeneratorEfficiency_max,TotalEfficiency_mean,TotalEfficiency_min,TotalEfficiency_max,UnitPower_mean,UnitPower_min,UnitPower_max,GeneratorPower_mean,GeneratorPower_min,GeneratorPower_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,ShutoffProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
725839200000,1993,1,1992,4,14,3,0.0507,0.0189,0.0318,1975.87,28.35,28.35,27.44,1,1,1,195.6,191.7,199.4,122.6,118.7,73,73,73,0,0,0,0.373,0.366,0.381,122.6,118.7,126.4,990,990,990,964.4,964.4,964.4,25.6,25.6,25.6,0.0922,0.0908,0.0935,0.00617,0.00584,0.00649,0.00024,0.00023,0.00025,0.206,0.199,0.213,0.0081,0.0078,0.0083,25.38,25.38,25.39,0.927,0.924,0.929,0.97,0.97,0.97,0.899,0.896,0.901,28.29,27.31,29.23,27.44,26.49,28.35,0,0,0,0,0,0,0.152,0,0.0189,0.37,0.63,0.37,39
726098400000,1993,1,1992,4,14,7,0.131,0.0442,0.0869,5427.09,35.04,35.04,32.3,1,1,1,216.6,204,228.6,143.6,131,73,73,73,0,0,0,0.337,0.319,0.358,143.6,131,155.6,990,990,990,964.5,964.4,964.6,25.5,25.4,25.6,0.0996,0.0952,0.104,0.00796,0.00689,0.00898,0.00031,0.00027,0.00035,0.244,0.221,0.265,0.0096,0.0087,0.01,25.26,25.16,25.35,0.936,0.931,0.941,0.97,0.97,0.97,0.908,0.903,0.912,33.3,30.33,36.12,32.3,29.42,35.04,0,0,0,0,0,0,0.179,0,0.0441,0.34,0.66,0.34,41.4
726703200000,1993,1,1992,4,15,7,0.149,0.0442,0.104,6575.47,42.63,42.63,39.14,1,1,1,245.7,232.2,260.1,172.7,159.2,73,73,73,-4.06e-15,-2.842e-14,0,0.297,0.281,0.314,172.7,159.2,187.1,990,990,990,964.7,964.6,964.7,25.3,25.3,25.4,0.11,0.105,0.115,0.0104,0.00928,0.0117,0.00041,0.00037,0.00046,0.296,0.272,0.322,0.012,0.011,0.013,25.03,24.94,25.14,0.946,0.942,0.951,0.976,0.97,0.98,0.923,0.913,0.932,40.11,36.95,43.5,39.14,35.84,42.63,0,0,0,0,0,0,0.217,0,0.045,0.3,0.7,0.3,44.1
727308000000,1993,1,1992,4,16,7,0.177,0.0442,0.132,8180.63,54.2,54.2,48.69,2,1,1.4285714285714286,292,265.3,321.1,219,192.3,73,73,73,0,-2.842e-14,2.842e-14,0.251,0.227,0.275,219,192.3,248.1,990,990,990,964.9,964.8,965,25.1,25,25.2,0.126,0.117,0.136,0.0144,0.0121,0.0168,0.00057,0.00048,0.00067,0.31,0.241,0.379,0.012,0.0096,0.015,24.82,24.73,24.91,0.942,0.922,0.958,0.976,0.97,0.98,0.92,0.895,0.939,38.73,25.61,51.02,37.58,24.84,48.2,0,0,0,0,0,0,0.271,0,0.045,0.25,0.75,0.25,46.2
727912800000,1993,1,1992,4,17,7,0.221,0.0442,0.177,10722.5,70.49,70.49,63.82,2,2,2,365.6,332.8,396.8,292.6,259.8,73,73,73,0,0,0,0.2,0.184,0.219,292.6,259.8,323.8,990,990,990,965.2,965.1,965.4,24.8,24.6,24.9,0.152,0.141,0.163,0.0371,0.0216,0.0518,0.0015,0.00087,0.0021,0.329,0.28,0.376,0.013,0.011,0.015,24.44,24.24,24.66,0.938,0.931,0.944,0.97,0.97,0.97,0.91,0.903,0.916,32.9,29.26,36.33,31.91,28.38,35.24,0,0,0,0,0,0,0.355,0,0.044,0.2,0.8,0.2,48.5
728517600000,1993,2,1992,5,18,7,0.276,0.0514,0.224,13541.6,92.4,92.4,80.6,2,2,2,455.5,409.6,511.4,370.5,324.6,85,85,85,0,0,0,0.187,0.166,0.207,370.5,324.6,426.4,990,990,990,965.6,965.4,965.9,24.4,24.1,24.6,0.181,0.165,0.2,0.0739,0.0522,0.1,0.003,0.0021,0.0042,0.447,0.378,0.531,0.018,0.015,0.022,23.9,23.57,24.18,0.951,0.944,0.957,0.976,0.97,0.98,0.928,0.916,0.938,41.27,36.35,47.14,40.3,35.26,46.2,0,0,0,0,0,0,0.448,0,0.052,0.19,0.81,0.19,49.1
729122400000,1993,2,1992,5,19,7,0.375,0.0514,0.323,18685.6,129.7,129.7,111.2,3,2,2.7142857142857144,619.4,534.6,712.9,534.4,449.6,85,85,85,0,-5.684e-14,5.684e-14,0.139,0.119,0.159,534.4,449.6,627.9,990,990,990,966.4,966,966.8,23.6,23.2,24,0.254,0.209,0.307,0.16,0.111,0.22,0.0068,0.0046,0.0095,0.627,0.541,0.752,0.027,0.023,0.032,23,22.5,23.43,0.953,0.946,0.958,0.977,0.97,0.98,0.931,0.918,0.939,43.07,36.1,51.89,41.67,35.02,48.2,0,0,0,0,0,0,0.618,0,0.052,0.14,0.86,0.14,49.8
729727200000,1993,2,1992,5,20,7,0.514,0.0531,0.461,25324.9,167.3,167.3,150.7,4,3,3.4285714285714284,849.6,749.8,966.9,761.8,664.8,87.86,85,105,0,0,0,0.104,0.0921,0.113,761.8,664.8,861.9,990,990,990,967.3,966.9,967.8,22.7,22.2,23.1,0.398,0.328,0.487,0.303,0.245,0.356,0.013,0.011,0.016,0.946,0.814,1.08,0.042,0.035,0.048,21.76,21.16,22.29,0.956,0.953,0.957,0.979,0.976,0.98,0.936,0.931,0.938,45.75,40.21,51.51,44.43,39.26,48.2,0,0,0,0,0,0,0.837,0,0.053,0.1,0.9,0.1,49.3
730332000000,1993,2,1992,5,21,7,0.706,0.0635,0.625,31584.2,192.8,192.8,188,4,4,4,1168,1014,1330,1063,908.6,105,105,105,29.52,0,124.8,0.0907,0.079,0.104,1033,908.6,1100,990,990,990,968.4,967.9,968.9,21.6,21.1,22.1,0.69,0.53,0.82,0.532,0.379,0.648,0.025,0.017,0.031,1.51,1.16,1.77,0.07,0.052,0.084,20.07,19.3,20.9,0.955,0.953,0.956,0.98,0.98,0.98,0.936,0.934,0.937,48.44,44.49,50.68,47,43.6,48.2,0,0,0,0,0,0,1.04,0,0.081,0.09,0.89,0.11,44.7
730936800000,1993,3,1992,6,22,7,0.878,0.111,0.665,31892.1,192.5,192.5,189.8,4,4,4,1452,1381,1519,1269,1198,183,183,183,168.9,98.28,235.9,0.126,0.12,0.132,1100,1100,1100,990,990,990,969.3,969.1,969.5,20.7,20.5,20.9,0.868,0.838,0.898,0.648,0.648,0.648,0.031,0.031,0.032,1.82,1.79,1.85,0.088,0.085,0.09,18.85,18.61,19.11,0.952,0.952,0.953,0.98,0.98,0.98,0.933,0.933,0.934,48.43,47.78,49.11,47.46,46.82,48.13,0,0,0,0,0,0,1.05,0,0.213,0.13,0.76,0.24,36.3
731541600000,1993,3,1992,6,23,7,0.978,0.111,0.665,30898.4,186.5,186.5,183.9,4,4,4,1616,1541,1706,1433,1358,183,183,183,333.4,258.3,422.5,0.113,0.107,0.119,1100,1100,1100,990,990,990,969.9,969.6,970.1,20.1,19.9,20.4,0.911,0.902,0.918,0.648,0.648,0.648,0.032,0.032,0.033,1.86,1.85,1.87,0.092,0.091,0.094,18.28,17.99,18.53,0.952,0.951,0.952,0.98,0.98,0.98,0.933,0.932,0.933,46.92,46.14,47.58,45.98,45.22,46.63,0,0,0,0,0,0,1.02,0,0.313,0.11,0.68,0.32,31.6
732146400000,1993,3,1992,6,24,7,1.16,0.111,0.665,29188.3,179.3,179.3,173.7,4,4,4,1915,1749,2107,1732,1566,183,183,183,632.5,466.3,824.1,0.096,0.0868,0.105,1100,1100,1100,990,990,990,970.8,970.3,971.4,19.2,18.6,19.7,0.926,0.922,0.926,0.648,0.648,0.648,0.034,0.033,0.035,1.87,1.87,1.87,0.098,0.095,0.1,17.32,16.77,17.84,0.949,0.947,0.951,0.98,0.98,0.98,0.93,0.928,0.932,44.32,42.84,45.75,43.43,41.98,44.83,0,0,0,0,0,0,0.965,0,0.495,0.096,0.57,0.43,25.2
732751200000,1993,3,1992,6,25,7,1.45,0.111,0.665,26899.6,165.8,165.8,160.1,4,4,4,2400,2191,2591,2217,2008,183,183,183,1117,908,1308,0.0764,0.0706,0.0835,1100,1100,1100,990,990,990,972.1,971.6,972.5,17.9,17.5,18.4,0.926,0.926,0.926,0.648,0.648,0.648,0.036,0.035,0.037,1.87,1.87,1.87,0.1,0.1,0.11,16.06,15.6,16.56,0.945,0.943,0.947,0.978,0.975,0.98,0.924,0.92,0.928,40.93,39.69,42.29,40.03,38.71,41.45,0,0,0,0,0,0,0.89,0,0.785,0.077,0.46,0.54,18.6
733356000000,1993,3,1992,6,26,7,1.69,0.122,0.665,25087.6,153.2,153.2,149.3,4,4,4,2790,2650,2919,2588,2467,202.4,183,217,1488,1367,1602,0.0725,0.0665,0.0776,1100,1100,1100,990,990,990,973,972.7,973.3,17,16.7,17.3,0.926,0.926,0.926,0.648,0.648,0.648,0.038,0.037,0.039,1.87,1.87,1.87,0.11,0.11,0.11,15.12,14.81,15.46,0.941,0.94,0.943,0.973,0.971,0.975,0.916,0.912,0.919,38.39,37.53,39.31,37.33,36.43,38.3,0,0,0,0,0,0,0.83,0,1.025,0.072,0.39,0.61,14.8
733960800000,1993,4,1992,7,27,7,1.89,0.131,0.665,23586.9,144.5,144.5,140.4,4,4,4,3125,2963,3291,2908,2746,217,217,217,1808,1646,1974,0.0695,0.0659,0.0732,1100,1100,1100,990,990,990,973.8,973.4,974.2,16.2,15.8,16.6,0.926,0.926,0.926,0.648,0.648,0.648,0.04,0.039,0.041,1.87,1.87,1.87,0.12,0.11,0.12,14.32,13.95,14.7,0.937,0.935,0.939,0.97,0.97,0.97,0.909,0.907,0.911,36.18,35.16,37.24,35.1,34.1,36.12,0,0,0,0,0,0,0.78,0,1.225,0.069,0.35,0.65,12.5
734565600000,1993,4,1992,7,28,7,2.12,0.131,0.665,22107.9,135.2,135.2,131.6,4,4,4,3505,3346,3651,3288,3129,217,217,217,2188,2029,2334,0.062,0.0594,0.0649,1100,1100,1100,990,990,990,974.6,974.3,974.9,15.4,15.1,15.7,0.926,0.926,0.926,0.648,0.648,0.648,0.042,0.041,0.043,1.87,1.87,1.87,0.12,0.12,0.12,13.49,13.19,13.83,0.932,0.93,0.934,0.97,0.97,0.97,0.904,0.902,0.906,33.92,33.08,34.84,32.9,32.08,33.8,0,0,0,0,0,0,0.731,0,1.455,0.062,0.31,0.69,10.4
735170400000,1993,4,1992,7,29,7,2.25,0.165,0.665,21316.4,127.7,127.7,126.9,4,4,4,3716,3681,3732,3443,3420,272.7,217,295,2343,2320,2385,0.0733,0.0586,0.0794,1100,1100,1100,990,990,990,975.1,975,975.1,14.9,14.9,15,0.926,0.926,0.926,0.648,0.648,0.648,0.043,0.043,0.044,1.87,1.87,1.87,0.13,0.12,0.13,13.05,13.01,13.12,0.929,0.929,0.93,0.97,0.97,0.97,0.901,0.901,0.902,32.7,32.61,32.9,31.72,31.63,31.92,0,0,0,0,0,0,0.705,0,1.585,0.073,0.3,0.7,9.47
735775200000,1993,4,1992,7,30,7,2.21,0.183,0.665,21576.8,130.3,130.3,128.4,4,4,4,3646,3565,3711,3344,3244,302.4,295,321,2244,2144,2316,0.083,0.0795,0.09,1100,1100,1100,990,990,990,974.9,974.8,975.1,15.1,14.9,15.2,0.926,0.926,0.926,0.648,0.648,0.648,0.043,0.043,0.043,1.87,1.87,1.87,0.12,0.12,0.13,13.19,13.06,13.37,0.93,0.929,0.931,0.97,0.97,0.97,0.902,0.901,0.903,33.1,32.73,33.57,32.11,31.75,32.56,0,0,0,0,0,0,0.714,0,1.545,0.083,0.3,0.7,9.76
736380000000,1993,5,1992,8,31,7,2.07,0.194,0.665,22429.8,136.2,136.2,133.5,4,4,4,3420,3300,3535,3099,2979,321,321,321,1999,1879,2114,0.0939,0.0908,0.0973,1100,1100,1100,990,990,990,974.5,974.2,974.7,15.5,15.3,15.8,0.926,0.926,0.926,0.648,0.648,0.648,0.042,0.041,0.042,1.87,1.87,1.87,0.12,0.12,0.12,13.67,13.43,13.93,0.933,0.932,0.935,0.97,0.97,0.97,0.905,0.904,0.907,34.41,33.74,35.11,33.38,32.73,34.06,0,0,0,0,0,0,0.742,0,1.405,0.094,0.32,0.68,10.8
736984800000,1993,5,1992,8,32,7,1.86,0.194,0.665,23808.8,146.2,146.2,141.7,4,4,4,3073,2903,3254,2752,2582,321,321,321,1652,1482,1833,0.105,0.0986,0.111,1100,1100,1100,990,990,990,973.7,973.3,974.1,16.3,15.9,16.7,0.926,0.926,0.926,0.648,0.648,0.648,0.04,0.039,0.041,1.87,1.87,1.87,0.11,0.11,0.12,14.44,14.03,14.85,0.938,0.935,0.94,0.97,0.97,0.971,0.91,0.907,0.913,36.52,35.38,37.64,35.43,34.31,36.55,0,0,0,0,0,0,0.787,0,1.195,0.1,0.36,0.64,12.8
737589600000,1993,5,1992,8,33,7,1.63,0.194,0.665,25520.1,156.1,156.1,151.9,4,4,4,2697,2545,2851,2376,2224,321,321,321,1276,1124,1430,0.119,0.113,0.126,1100,1100,1100,990,990,990,972.8,972.4,973.2,17.2,16.8,17.6,0.926,0.926,0.926,0.648,0.648,0.648,0.038,0.037,0.038,1.87,1.87,1.87,0.11,0.11,0.11,15.34,14.97,15.71,0.942,0.941,0.944,0.974,0.972,0.976,0.918,0.914,0.921,38.99,37.99,39.99,37.98,36.91,39.03,0,0,0,0,0,0,0.844,0,0.965,0.12,0.41,0.59,15.7
