Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,265.3,131.2,498.4,66580,6273,31480,89.49,8.431,42.31,0.31,0.69,0.31,0.012,0.018,0,0.23,42.7
2,5,507.8,185.9,1150,118100,5609,57320,175.7,8.346,84.64,0.21,0.79,0.21,0,0.027,0,0.47,45.5
3,6,931.6,300.1,2008,142100,31700,99520,191,42.6,133.8,0.16,0.78,0.22,0,0,0,0.74,42.3
4,7,1179,277.7,2398,138600,24550,106100,192.5,34.09,147.4,0.15,0.74,0.26,0,0,0,0.82,38.2
5,8,910.5,187.7,1788,139500,1927,92770,187.5,2.59,124.7,0.24,0.71,0.29,0.022,0.033,0,0.69,38.3
6,9,523.4,140.1,934,107700,0,57950,149.6,0,80.49,0.31,0.69,0.31,0.044,0.073,0,0.45,39.6
7,10,348.3,114.9,583.1,59700,0,33450,80.24,0,44.96,0.42,0.57,0.43,0.072,0.16,0,0.25,32.3
8,11,242.6,87.94,388.8,36330,0,18970,48.83,0,25.5,0.49,0.49,0.51,0.13,0.35,0,0.14,24.5
9,12,168.3,58.03,271.3,24700,0,12450,34.3,0,17.29,0.52,0.43,0.57,0.25,0.33,0,0.096,24.2
10,1,133.1,45.26,205.6,19990,0,9784,26.87,0,13.15,0.48,0.45,0.55,0.24,0.39,0,0.073,23.1
11,2,147.6,72.01,208.2,22860,0,13530,31.76,0,18.79,0.38,0.58,0.42,0.11,0.24,0,0.1,31.9
12,3,186.7,107.5,255.5,32770,0,20810,44.04,0,27.97,0.33,0.66,0.34,0.029,0.063,0,0.16,39.9
