Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0,2400,193,142000,25.6,1100,25.5,0.936,1.87,1,0.88,1,50.1,2
0.01,2020,191,139000,25.6,1100,25.4,0.936,1.87,0.97,0.874,1,49.9,2
0.02,1780,189,138000,25.6,1100,25.4,0.936,1.87,0.846,0.87,1,49.1,2
0.03,1710,181,135000,25.6,1100,25.4,0.935,1.83,0.757,0.86,1,48.6,2
0.04,1480,180,133000,25.6,1100,25.4,0.935,1.81,0.693,0.86,1,48.3,2
0.05,1450,179,131000,25.5,1090,25.4,0.935,1.77,0.67,0.851,0.882,48,1.8
0.06,1360,178,130000,25.5,1060,25.4,0.935,1.66,0.609,0.85,0.849,47.7,1.63
0.07,1300,176,129000,25.5,1040,25.4,0.934,1.61,0.59,0.84,0.779,47.5,1.4
0.08,1250,174,128000,25.5,979,25.4,0.934,1.45,0.568,0.84,0.684,47.4,1.3
0.09,1170,172,124000,25.5,961,25.4,0.934,1.41,0.55,0.83,0.64,47.3,1.17
0.1,1140,167,121000,25.5,928,25.4,0.934,1.33,0.521,0.83,0.591,47.1,1.13
0.11,1060,162,119000,25.5,890,25.4,0.934,1.24,0.515,0.82,0.56,46.9,0.905
0.12,965,158,117000,25.5,830,25.4,0.933,1.12,0.5,0.82,0.539,46.8,0.741
0.13,938,153,112000,25.5,799,25.4,0.933,1.04,0.483,0.813,0.52,46.7,0.644
0.14,891,150,106000,25.5,767,25.4,0.933,0.998,0.47,0.81,0.505,46.6,0.452
0.15,875,142,102000,25.5,719,25.4,0.933,0.924,0.47,0.8,0.47,46.4,0.419
0.16,823,135,98500,25.5,686,25.4,0.933,0.844,0.456,0.8,0.47,46.2,0.331
0.17,773,126,93500,25.5,630,25.4,0.932,0.775,0.45,0.79,0.46,45.9,0.225
0.18,745,123,89700,25.5,604,25.4,0.932,0.74,0.444,0.79,0.45,45.7,0.194
0.19,711,120,85400,25.5,592,25.4,0.932,0.717,0.44,0.79,0.45,45.5,0.1
0.2,701,115,83200,25.5,557,25.4,0.931,0.682,0.432,0.79,0.44,45.4,0.071
0.21,669,111,79600,25.5,534,25.4,0.931,0.644,0.43,0.78,0.44,45.3,0.0323
0.22,650,110,78000,25.5,532,25.4,0.93,0.633,0.42,0.78,0.43,45.1,0
0.23,637,108,77500,25.5,518,25.4,0.929,0.612,0.42,0.78,0.43,45,0
0.24,620,105,75100,25.5,503,25.4,0.929,0.602,0.42,0.78,0.42,44.9,0
0.25,602,103,73100,25.5,493,25.4,0.928,0.584,0.41,0.77,0.42,44.9,0
0.26,574,91.4,66200,25.5,431,25.4,0.927,0.518,0.41,0.77,0.41,44.7,0
0.27,524,86.9,62200,25.5,410,25.4,0.927,0.495,0.41,0.761,0.41,44.6,0
0.28,510,83.8,59900,25.5,394,25.4,0.926,0.468,0.4,0.76,0.41,44.4,0
0.29,494,80.5,59500,25.5,378,25.4,0.926,0.46,0.39,0.75,0.409,44.2,0
0.3,483,77.8,56900,25.5,367,25.3,0.925,0.445,0.39,0.75,0.4,44.1,0
0.31,477,72,52600,25.5,331,25.3,0.925,0.409,0.39,0.74,0.39,44.1,0
0.32,461,70.6,50300,25.5,326,25.3,0.924,0.393,0.38,0.74,0.39,43.9,0
0.33,446,68.8,49600,25.5,321,25.3,0.924,0.389,0.38,0.735,0.39,43.5,0
0.34,437,67.3,49100,25.5,312,25.3,0.923,0.386,0.38,0.73,0.38,43.4,0
0.35,424,66,47600,25.5,307,25.3,0.923,0.382,0.38,0.723,0.38,43,0
0.36,413,64.8,47100,25.5,300,25.3,0.922,0.368,0.37,0.72,0.38,42.9,0
0.37,401,63.3,44700,25.5,292,25.2,0.922,0.359,0.37,0.72,0.38,42.6,0
0.38,394,60.2,43800,25.5,276,25.2,0.922,0.351,0.36,0.72,0.376,42.4,0
0.39,387,58.8,42400,25.4,271,25.2,0.921,0.343,0.36,0.71,0.37,42.3,0
0.4,378,56.6,40900,25.4,260,25.2,0.921,0.341,0.36,0.71,0.37,41.9,0
0.41,360,54.7,40400,25.4,251,25.2,0.921,0.335,0.35,0.7,0.36,41.6,0
0.42,347,53.8,39800,25.4,244,25.1,0.92,0.33,0.35,0.69,0.36,41.1,0
0.43,334,51.5,37400,25.4,234,25.1,0.92,0.322,0.346,0.69,0.356,40.9,0
0.44,321,48.9,36200,25.4,223,25.1,0.92,0.32,0.34,0.69,0.35,40.7,0
0.45,317,47.8,34100,25.3,216,25.1,0.919,0.318,0.34,0.68,0.35,40.6,0
0.46,314,45.7,33700,25.3,207,25,0.919,0.316,0.34,0.68,0.35,40.4,0
0.47,307,44.1,32600,25.3,197,25,0.919,0.312,0.333,0.68,0.343,40.3,0
0.48,300,43.5,32100,25.2,196,24.9,0.918,0.309,0.33,0.67,0.34,40,0
0.49,298,42.6,31700,25.2,192,24.9,0.918,0.306,0.33,0.67,0.34,39.7,0
0.5,286,42.3,31300,25.1,190,24.8,0.917,0.303,0.32,0.66,0.34,39.5,0
0.51,279,40.6,30200,25.1,181,24.8,0.917,0.298,0.319,0.66,0.33,39.5,0
0.52,271,39.3,29100,25.1,174,24.8,0.917,0.295,0.31,0.66,0.33,39.3,0
0.53,261,38.7,28800,25.1,171,24.7,0.916,0.291,0.31,0.657,0.32,39.2,0
0.54,256,38.3,28500,25,168,24.7,0.916,0.286,0.31,0.65,0.32,39,0
0.55,249,37.4,27700,25,165,24.7,0.915,0.283,0.3,0.65,0.32,38.9,0
0.56,242,36.1,26700,25,161,24.7,0.914,0.28,0.29,0.65,0.31,38.7,0
0.57,237,35.7,26100,24.9,158,24.6,0.914,0.269,0.29,0.644,0.31,38.6,0
0.58,232,34.5,25600,24.9,153,24.5,0.913,0.264,0.28,0.64,0.31,38.5,0
0.59,231,33.7,24600,24.8,150,24.5,0.911,0.256,0.28,0.64,0.3,38.4,0
0.6,228,31.7,23100,24.7,141,24.4,0.907,0.242,0.276,0.63,0.29,38.3,0
0.61,227,30.3,22200,24.7,139,24.3,0.904,0.237,0.27,0.63,0.29,38.2,0
0.62,224,29.8,21800,24.6,135,24.3,0.903,0.229,0.27,0.624,0.28,38,0
0.63,217,29.2,21500,24.6,133,24.3,0.901,0.225,0.26,0.62,0.28,37.8,0
0.64,211,29,20900,24.5,131,24.2,0.901,0.221,0.26,0.62,0.28,37.5,0
0.65,208,27.9,20500,24.5,130,24.1,0.899,0.219,0.256,0.62,0.276,37.4,0
0.66,206,27.3,20000,24.4,129,24.1,0.898,0.216,0.25,0.62,0.27,36.7,0
0.67,199,26.9,19700,24.4,123,24,0.896,0.211,0.24,0.61,0.265,36.4,0
0.68,194,26.6,19400,24.3,123,23.9,0.896,0.207,0.23,0.61,0.26,36.1,0
0.69,192,26.4,19200,24.3,121,23.8,0.895,0.202,0.23,0.61,0.26,35.8,0
0.7,190,25.8,18900,24.2,119,23.8,0.894,0.199,0.22,0.6,0.25,35.6,0
0.71,188,25.2,18600,24.2,117,23.7,0.893,0.196,0.22,0.591,0.25,35.4,0
0.72,185,24.8,18100,24.1,115,23.7,0.893,0.193,0.22,0.59,0.24,35,0
0.73,181,23.7,17500,24,113,23.5,0.892,0.19,0.21,0.59,0.239,34.7,0
0.74,178,23.2,17100,23.8,112,23.3,0.89,0.185,0.21,0.59,0.23,34.2,0
0.75,175,22.7,16700,23.7,108,23.1,0.89,0.18,0.207,0.58,0.23,33.9,0
0.76,173,22.4,16400,23.6,103,23,0.888,0.173,0.2,0.58,0.22,33.4,0
0.77,172,21.6,15700,23.6,102,22.9,0.888,0.169,0.196,0.57,0.22,32,0
0.78,171,20.3,15100,23.5,101,22.9,0.887,0.167,0.19,0.57,0.22,30.8,0
0.79,169,19.5,14100,23.4,98.6,22.8,0.869,0.164,0.18,0.56,0.22,29.8,0
0.8,163,18.9,13900,23.3,93.6,22.6,0.832,0.152,0.18,0.56,0.21,29.4,0
0.81,158,18.5,13600,23.3,89.1,22.5,0.797,0.145,0.17,0.55,0.21,28.1,0
0.82,155,17.9,13300,23.1,85.9,22.4,0.729,0.141,0.16,0.55,0.21,27.2,0
0.83,153,17,12500,23,84.7,22.2,0.701,0.137,0.15,0.54,0.21,23.4,0
0.84,144,15.4,11500,22.8,82.7,22,0.645,0.133,0.15,0.53,0.2,22.2,0
0.85,142,14.4,10700,22.6,80.3,21.7,0.52,0.129,0.15,0.53,0.2,20.8,0
0.86,140,11.5,8340,22.6,75.3,21.6,0.475,0.123,0.14,0.495,0.19,19.4,0
0.87,138,8.4,6120,22.4,71.6,21.4,0.447,0.115,0.14,0.48,0.187,18.3,0
0.88,136,6.99,5030,22.3,63.8,21.2,0.326,0.107,0.14,0.461,0.18,14,0
0.89,133,3.2,2300,21.9,57.9,20.7,0.176,0.102,0.13,0.44,0.18,8.29,0
0.9,125,2.48,1780,21.7,52.8,20.4,0.144,0.0984,0.13,0.409,0.17,5.4,0
0.91,122,0.829,610,21.6,44.5,20.2,0.0373,0.0899,0.123,0.36,0.17,1.57,0
0.92,117,0,0,21.3,38.7,19.9,0,0.0848,0.12,0.316,0.16,0,0
0.93,112,0,0,21.2,26.3,19.6,0,0.0819,0.12,0.221,0.16,0,0
0.94,107,0,0,21,20.2,19.2,0,0.0779,0.11,0.151,0.15,0,0
0.95,104,0,0,20.7,11.3,19,0,0.0747,0.11,0.118,0.15,0,0
0.96,99.4,0,0,20.5,0,18.8,0,0.0708,0.11,0,0.14,0,0
0.97,92.8,0,0,19.9,0,18,0,0.0708,0.108,0,0.14,0,0
0.98,84.7,0,0,19.6,0,17.8,0,0.0708,0.0927,0,0.13,0,0
0.99,65.2,0,0,19,0,17.1,0,0.0708,0.0858,0,0.126,0,0
1,45.3,0,0,17.9,0,16.1,0,0.0708,0.073,0,0.12,0,0
