date,flow,ewrMeasurementDate,ewrExceedance,ewrFlowBandNumber,ewrFlowBand,ewrMeasureExceedance
1993-01-01,182.97,1992-12-28,,5,Dry,
1993-01-02,187.07,1992-12-28,,5,Dry,
1993-01-03,190.63,1992-12-28,,5,Dry,
1993-01-04,195.28,1992-12-28,,5,Dry,
1993-01-05,200.47,1992-12-28,,5,Dry,
1993-01-06,205.67,1992-12-28,,5,Dry,
1993-01-07,208.67,1992-12-28,,5,Dry,
1993-01-08,210.04,1992-12-28,,5,Dry,1
1993-01-09,214.69,1992-12-28,,5,Dry,
1993-01-10,219.34,1992-12-28,,5,Dry,
1993-01-11,222.89,1993-01-08,1,5,Dry,
1993-01-12,225.9,1993-01-08,1,5,Dry,
1993-01-13,230,1993-01-08,1,5,Dry,
1993-01-14,237.39,1993-01-08,1,5,Dry,
1993-01-15,240.94,1993-01-08,1,5,Dry,
1993-01-16,245.04,1993-01-08,1,5,Dry,
1993-01-17,249.69,1993-01-08,1,5,Dry,
1993-01-18,254.89,1993-01-08,1,5,Dry,1
1993-01-19,261.72,1993-01-08,1,5,Dry,
1993-01-20,272.39,1993-01-08,1,5,Dry,
1993-01-21,281.41,1993-01-18,1,5,Dry,
1993-01-22,288.24,1993-01-18,1,5,Dry,
1993-01-23,297.81,1993-01-18,1,5,Dry,
1993-01-24,309.03,1993-01-18,1,5,Dry,
1993-01-25,320.24,1993-01-18,1,5,Dry,
1993-01-26,330.35,1993-01-18,1,5,Dry,
1993-01-27,341.02,1993-01-18,1,5,Dry,
1993-01-28,350.59,1993-01-18,1,5,Dry,1
1993-01-29,360.16,1993-01-18,1,5,Dry,
1993-01-30,369.18,1993-01-18,1,5,Dry,
1993-01-31,378.21,1993-01-18,1,5,Dry,
1993-02-01,388.32,1993-01-28,1,5,Dry,
1993-02-02,400.08,1993-01-28,1,5,Dry,
1993-02-03,412.39,1993-01-28,1,5,Dry,
1993-02-04,425.78,1993-01-28,1,5,Dry,
1993-02-05,440.28,1993-01-28,1,5,Dry,
1993-02-06,457.5,1993-01-28,1,5,Dry,
1993-02-07,476.92,1993-01-28,1,5,Dry,
1993-02-08,497.97,1993-01-28,1,5,Dry,0.97
1993-02-09,520.12,1993-01-28,1,5,Dry,
1993-02-10,543.91,1993-01-28,1,5,Dry,
1993-02-11,567.7,1993-02-08,0.97,5,Dry,
1993-02-12,593.67,1993-02-08,0.97,5,Dry,
1993-02-13,622.93,1993-02-08,0.97,5,Dry,
1993-02-14,654.38,1993-02-08,0.97,5,Dry,
1993-02-15,688.01,1993-02-08,0.97,5,Dry,
1993-02-16,722.19,1993-02-08,0.97,5,Dry,
1993-02-17,758.01,1993-02-08,0.97,5,Dry,
1993-02-18,783.79,1993-02-08,0.97,5,Dry,0.8
1993-02-19,814.09,1993-02-08,0.97,5,Dry,
1993-02-20,849.78,1993-02-08,0.97,5,Dry,
1993-02-21,889.23,1993-02-18,0.8,4,Mod_Dry,
1993-02-22,931.65,1993-02-18,0.8,4,Mod_Dry,
1993-02-23,976.57,1993-02-18,0.8,4,Mod_Dry,
1993-02-24,1023.68,1993-02-18,0.8,4,Mod_Dry,
1993-02-25,1072.73,1993-02-18,0.8,4,Mod_Dry,
1993-02-26,1128.98,1993-02-18,0.8,4,Mod_Dry,
1993-02-27,1187.19,1993-02-18,0.8,4,Mod_Dry,
1993-02-28,1247.2,1993-02-18,0.8,4,Mod_Dry,0.54
1993-03-01,1302.94,1993-02-28,0.54,3,Normal,
1993-03-02,1353.9,1993-02-28,0.54,3,Normal,
1993-03-03,1399.68,1993-02-28,0.54,3,Normal,
1993-03-04,1421.29,1993-02-28,0.54,3,Normal,
1993-03-05,1443.07,1993-02-28,0.54,3,Normal,
1993-03-06,1464.99,1993-02-28,0.54,3,Normal,
