WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1992,273,736.7,192.8,24.37,112.4,1236,183,3325,29.1,4.36,15.7,0.232,0.0653,0.5,0,0,0,0,0,0,0.467,0.33,0.085,0.17,0.16,0,0,0,13.4,0.15,0.54,0.46,25.3
1993,365,765.1,192.8,0,87.34,648.9,161.4,2085,20.5,3.73,14.5,0.261,0.0878,0.49,0,7,0,0,0.019,0,0.485,0.24,0.13,0.2,0.43,0,7,0.019178082191780823,6,0.18,0.71,0.29,37.3
1994,365,311.7,123.5,0,35.59,267.8,88.36,703.6,8.44,2.87,5.45,0.407,0.152,0.815,44,86,0,0.12,0.24,0,0.198,0,0.066,0.16,0.66,0.12,130,0.3561643835616438,2.99,0.34,0.65,0.35,36.9
1995,366,465.5,185.1,0,52.99,358.2,70.86,1099,11.3,2.87,8.33,0.367,0.0983,0.734,48,79,0,0.13,0.22,0,0.295,0.088,0.1,0.2,0.48,0.13,127,0.34794520547945207,2.97,0.25,0.74,0.26,41.2
1996,365,751.2,192.8,0,85.75,625,102,1960,19.7,3.67,14.5,0.284,0.0755,0.51,0,32,0,0,0.088,0,0.476,0.27,0.11,0.13,0.49,0,32,0.08767123287671233,5.2,0.19,0.74,0.26,38.1
1997,365,738.2,192.8,19.03,84.27,575.4,158.6,1746,18.1,3.3,13.7,0.258,0.0848,0.466,0,0,0,0,0,0,0.468,0.24,0.11,0.17,0.48,0,0,0,4.4,0.18,0.76,0.24,40.8
1998,365,838.5,192.8,18.48,95.72,1002,135.1,3409,31.6,4.85,17.6,0.249,0.0637,0.539,0,0,0,0,0,0,0.532,0.36,0.11,0.15,0.38,0,0,0,14,0.15,0.56,0.44,26.5
1999,366,750.6,192.8,0,85.45,785.7,183.2,2919,24.8,4.23,15,0.268,0.0518,0.527,0,13,0,0,0.036,0,0.476,0.25,0.14,0.18,0.44,0,13,0.03561643835616438,9.8,0.17,0.6,0.4,30.3
2000,365,836.2,192.8,0,95.46,1296,177.5,4282,40.9,5.57,18.7,0.241,0.0604,0.513,0,8,0,0,0.022,0,0.53,0.37,0.13,0.18,0.32,0,8,0.021917808219178082,22.2,0.14,0.46,0.54,20.4
2001,365,696.9,192.8,16.72,79.56,495.1,146.6,1276,15.6,3.19,12.4,0.268,0.0979,0.491,0,0,0,0,0,0,0.442,0.15,0.15,0.27,0.43,0,0,0,3.2,0.2,0.79,0.21,44.7
2002,365,763.1,192.8,13.87,87.12,673.2,117.3,2404,21.2,4.01,14.6,0.275,0.0616,0.506,0,0,0,0,0,0,0.484,0.27,0.11,0.18,0.44,0,0,0,6.6,0.19,0.69,0.31,36
2003,366,774.3,192.8,0,88.15,1182,187.9,4842,37.4,5.21,17.1,0.258,0.0443,0.539,0,8,0,0,0.022,0,0.491,0.34,0.096,0.16,0.41,0,8,0.021917808219178082,20.3,0.14,0.46,0.54,20.7
2004,365,587,192.8,0,67.01,436.4,128.6,1360,13.8,3.07,10.6,0.292,0.0927,0.56,0,37,0,0,0.1,0,0.372,0.09,0.18,0.21,0.52,0,37,0.10136986301369863,3.2,0.22,0.77,0.23,42.5
2005,365,757.7,192.8,0,86.49,756.7,94.92,2362,23.9,4.05,15.1,0.276,0.0809,0.548,13,29,0,0.036,0.079,0,0.481,0.28,0.12,0.17,0.4,0.036,42,0.11506849315068493,8.8,0.17,0.63,0.37,31.7
2006,365,824.5,192.8,0,94.12,1257,177,3797,39.6,5.41,18.5,0.247,0.0584,0.537,0,9,0,0,0.025,0,0.523,0.39,0.093,0.15,0.37,0,9,0.024657534246575342,21.1,0.14,0.47,0.53,20.8
2007,366,811.6,192.8,0,92.4,876.3,193.6,2740,27.7,4.1,16.5,0.245,0.0608,0.471,0,5,0,0,0.014,0,0.515,0.31,0.1,0.21,0.38,0,5,0.0136986301369863,11.2,0.15,0.6,0.4,29.3
2008,365,805.8,192.8,18.63,91.99,872.2,156.4,3287,27.5,4.35,16.2,0.248,0.066,0.511,0,0,0,0,0,0,0.511,0.3,0.1,0.24,0.36,0,0,0,11.3,0.16,0.59,0.41,29.3
2009,365,839.7,192.8,0,95.86,1447,179.4,4448,45.6,5.73,19.4,0.232,0.0558,0.497,0,5,0,0,0.014,0,0.533,0.41,0.085,0.23,0.28,0,5,0.0136986301369863,26.2,0.13,0.43,0.57,18.4
2010,365,896.8,192.8,25.78,102.4,1270,212.2,3810,40,5.61,19.7,0.245,0.0592,0.501,0,0,0,0,0,0,0.569,0.42,0.093,0.16,0.32,0,0,0,20.3,0.14,0.49,0.51,22.4
2011,366,777.9,192.8,0,88.56,606.5,166.6,1679,19.2,3.47,14.5,0.254,0.0871,0.51,0,13,0,0,0.036,0,0.493,0.21,0.17,0.23,0.4,0,13,0.03561643835616438,4.7,0.18,0.76,0.24,40.5
2012,365,838.5,192.8,19.82,95.72,908.3,141.7,3204,28.6,4.29,17.2,0.244,0.0616,0.524,0,0,0,0,0,0,0.532,0.35,0.099,0.15,0.39,0,0,0,11.4,0.15,0.6,0.4,29.3
2013,365,892.1,192.8,21.27,101.8,993.1,169.6,2871,31.3,4.88,18.4,0.249,0.0703,0.546,0,0,0,0,0,0,0.566,0.39,0.1,0.16,0.35,0,0,0,12.9,0.16,0.59,0.41,28.5
2014,365,839.1,192.8,0,95.79,697.2,172.8,1756,22,3.97,16.1,0.26,0.0776,0.524,0,9,0,0,0.025,0,0.532,0.31,0.11,0.16,0.42,0,9,0.024657534246575342,5.9,0.18,0.73,0.27,38.1
2015,366,826,192.8,17.72,94.04,849.3,152.3,2708,26.9,4.3,16.6,0.247,0.0726,0.542,0,0,0,0,0,0,0.524,0.31,0.11,0.21,0.37,0,0,0,10.3,0.16,0.62,0.38,30.7
2016,365,808,192.8,19.42,92.24,1225,160.6,4562,38.6,5.17,17.8,0.235,0.0418,0.511,0,0,0,0,0,0,0.512,0.34,0.12,0.2,0.34,0,0,0,20.8,0.13,0.46,0.54,20.9
2017,365,860,192.8,25.98,98.17,1230,213.1,3906,38.8,5.43,18.8,0.238,0.0603,0.479,0,0,0,0,0,0,0.545,0.37,0.12,0.23,0.28,0,0,0,20,0.14,0.48,0.52,22.2
2018,365,577,157.9,0,65.87,425.4,116.3,938.6,13.4,3.18,10.2,0.304,0.108,0.619,5,33,0,0.014,0.09,0,0.366,0.033,0.23,0.18,0.54,0.014,38,0.10410958904109589,3.2,0.24,0.76,0.24,43.1
2019,366,766.5,192.8,0,87.26,1208,92.74,4430,38.2,5.13,17.4,0.265,0.0533,0.561,20,43,0,0.055,0.12,0,0.486,0.36,0.09,0.17,0.33,0.055,63,0.1726027397260274,20.8,0.13,0.46,0.54,20.1
2020,365,925.1,192.8,0,105.6,1209,195.6,3283,38.1,5.65,20.1,0.248,0.0624,0.544,0,9,0,0,0.025,0,0.587,0.43,0.11,0.16,0.3,0,9,0.024657534246575342,18,0.15,0.53,0.47,24.3
2021,365,840.5,192.8,25.24,95.95,868.6,212.2,2638,27.4,4.73,16.8,0.261,0.065,0.536,0,0,0,0,0,0,0.533,0.31,0.12,0.21,0.36,0,0,0,10.6,0.17,0.61,0.39,30.7
2022,92,83.61,88.27,0,37.87,258.6,184.3,482.1,2.06,0.639,1.42,0.335,0.16,0.506,0,7,0,0,0.019,0,0.053,0,0,0.058,0.19,0,7,0.019178082191780823,0.64,0.31,0.69,0.31,40.6
