date,flow,ewrMeasurementDate,ewrExceedance,ewrFlowBandNumber,ewrFlowBand,ewrMeasureExceedance
1993-01-01,136.01,1992-12-28,,5,Dry,
1993-01-02,138.47,1992-12-28,,5,Dry,
1993-01-03,140.93,1992-12-28,,5,Dry,
1993-01-04,144.49,1992-12-28,,5,Dry,
1993-01-05,148.59,1992-12-28,,5,Dry,
1993-01-06,152.69,1992-12-28,,5,Dry,
1993-01-07,153.51,1992-12-28,,5,Dry,
1993-01-08,154.33,1992-12-28,,5,Dry,1
1993-01-09,157.89,1992-12-28,,5,Dry,
1993-01-10,160.35,1992-12-28,,5,Dry,
1993-01-11,163.36,1993-01-08,1,5,Dry,
1993-01-12,163.63,1993-01-08,1,5,Dry,
1993-01-13,166.64,1993-01-08,1,5,Dry,
1993-01-14,171.28,1993-01-08,1,5,Dry,
1993-01-15,174.29,1993-01-08,1,5,Dry,
1993-01-16,175.66,1993-01-08,1,5,Dry,
1993-01-17,178.67,1993-01-08,1,5,Dry,
1993-01-18,181.68,1993-01-08,1,5,Dry,1
1993-01-19,186.32,1993-01-08,1,5,Dry,
1993-01-20,195.89,1993-01-08,1,5,Dry,
1993-01-21,203.82,1993-01-18,1,5,Dry,
1993-01-22,208.47,1993-01-18,1,5,Dry,
1993-01-23,215.86,1993-01-18,1,5,Dry,
1993-01-24,226.52,1993-01-18,1,5,Dry,
1993-01-25,235.54,1993-01-18,1,5,Dry,
1993-01-26,245.11,1993-01-18,1,5,Dry,
1993-01-27,254.14,1993-01-18,1,5,Dry,
1993-01-28,260.97,1993-01-18,1,5,Dry,1
1993-01-29,268.36,1993-01-18,1,5,Dry,
1993-01-30,275.74,1993-01-18,1,5,Dry,
1993-01-31,283.12,1993-01-18,1,5,Dry,
1993-02-01,292.69,1993-01-28,1,5,Dry,
1993-02-02,301.71,1993-01-28,1,5,Dry,
1993-02-03,311.83,1993-01-28,1,5,Dry,
1993-02-04,320.86,1993-01-28,1,5,Dry,
1993-02-05,332.61,1993-01-28,1,5,Dry,
1993-02-06,346.01,1993-01-28,1,5,Dry,
1993-02-07,360.5,1993-01-28,1,5,Dry,
1993-02-08,376.64,1993-01-28,1,5,Dry,1
1993-02-09,393.86,1993-01-28,1,5,Dry,
1993-02-10,411.09,1993-01-28,1,5,Dry,
1993-02-11,427.22,1993-02-08,1,5,Dry,
1993-02-12,446.64,1993-02-08,1,5,Dry,
1993-02-13,468.78,1993-02-08,1,5,Dry,
1993-02-14,490.93,1993-02-08,1,5,Dry,
1993-02-15,513.08,1993-02-08,1,5,Dry,
1993-02-16,537.96,1993-02-08,1,5,Dry,
1993-02-17,562.3,1993-02-08,1,5,Dry,
1993-02-18,586.64,1993-02-08,1,5,Dry,0.97
1993-02-19,610.97,1993-02-08,1,5,Dry,
1993-02-20,634.21,1993-02-08,1,5,Dry,
1993-02-21,653.08,1993-02-18,0.97,5,Dry,
1993-02-22,672.5,1993-02-18,0.97,5,Dry,
1993-02-23,693.55,1993-02-18,0.97,5,Dry,
1993-02-24,713.51,1993-02-18,0.97,5,Dry,
1993-02-25,732.38,1993-02-18,0.97,5,Dry,
1993-02-26,750.15,1993-02-18,0.97,5,Dry,
1993-02-27,769.57,1993-02-18,0.97,5,Dry,
1993-02-28,778.79,1993-02-18,0.97,5,Dry,0.9
1993-03-01,788.47,1993-02-28,0.9,5,Dry,
1993-03-02,796.12,1993-02-28,0.9,5,Dry,
1993-03-03,807.63,1993-02-28,0.9,5,Dry,
1993-03-04,819.9,1993-02-28,0.9,5,Dry,
1993-03-05,829.08,1993-02-28,0.9,5,Dry,
1993-03-06,838.56,1993-02-28,0.9,5,Dry,
1993-03-07,848.32,1993-02-28,0.9,5,Dry,
1993-03-08,858.34,1993-02-28,0.9,5,Dry,0.87
1993-03-09,864.47,1993-02-28,0.9,5,Dry,
1993-03-10,870.68,1993-02-28,0.9,5,Dry,
1993-03-11,876.98,1993-03-08,0.87,4,Mod_Dry,
1993-03-12,879.09,1993-03-08,0.87,4,Mod_Dry,
1993-03-13,885.49,1993-03-08,0.87,4,Mod_Dry,
1993-03-14,891.96,1993-03-08,0.87,4,Mod_Dry,
1993-03-15,902.91,1993-03-08,0.87,4,Mod_Dry,
1993-03-16,918.56,1993-03-08,0.87,4,Mod_Dry,
1993-03-17,934.56,1993-03-08,0.87,4,Mod_Dry,
1993-03-18,946.2,1993-03-08,0.87,4,Mod_Dry,0.88
1993-03-19,958,1993-03-08,0.87,4,Mod_Dry,
1993-03-20,969.96,1993-03-08,0.87,4,Mod_Dry,
1993-03-21,986.96,1993-03-18,0.88,4,Mod_Dry,
1993-03-22,1009.24,1993-03-18,0.88,4,Mod_Dry,
1993-03-23,1031.97,1993-03-18,0.88,4,Mod_Dry,
1993-03-24,1055.12,1993-03-18,0.88,4,Mod_Dry,
1993-03-25,1078.69,1993-03-18,0.88,4,Mod_Dry,
1993-03-26,1102.64,1993-03-18,0.88,4,Mod_Dry,
1993-03-27,1126.97,1993-03-18,0.88,4,Mod_Dry,
1993-03-28,1146.14,1993-03-18,0.88,4,Mod_Dry,0.85
1993-03-29,1159.97,1993-03-18,0.88,4,Mod_Dry,
1993-03-30,1168.31,1993-03-18,0.88,4,Mod_Dry,
1993-03-31,1176.69,1993-03-18,0.88,4,Mod_Dry,
1993-04-01,1185.11,1993-03-28,0.85,4,Mod_Dry,
1993-04-02,1187.93,1993-03-28,0.85,4,Mod_Dry,
1993-04-03,1185.11,1993-03-28,0.85,4,Mod_Dry,
1993-04-04,1182.3,1993-03-28,0.85,4,Mod_Dry,
1993-04-05,1190.75,1993-03-28,0.85,4,Mod_Dry,
1993-04-06,1193.57,1993-03-28,0.85,4,Mod_Dry,
1993-04-07,1196.4,1993-03-28,0.85,4,Mod_Dry,
1993-04-08,1199.23,1993-03-28,0.85,4,Mod_Dry,0.9
1993-04-09,1202.06,1993-03-28,0.85,4,Mod_Dry,
1993-04-10,1204.9,1993-03-28,0.85,4,Mod_Dry,
1993-04-11,1207.75,1993-04-08,0.9,5,Dry,
1993-04-12,1216.3,1993-04-08,0.9,5,Dry,
1993-04-13,1230.63,1993-04-08,0.9,5,Dry,
1993-04-14,1239.28,1993-04-08,0.9,5,Dry,
1993-04-15,1247.96,1993-04-08,0.9,5,Dry,
1993-04-16,1250.86,1993-04-08,0.9,5,Dry,
1993-04-17,1247.96,1993-04-08,0.9,5,Dry,
