date,flow,ewrMeasurementDate,ewrExceedance,ewrFlowBandNumber,ewrFlowBand,ewrMeasureExceedance
1993-01-01,188.49,1992-12-28,,5,Dry,
1993-01-02,192.04,1992-12-28,,5,Dry,
1993-01-03,195.6,1992-12-28,,5,Dry,
1993-01-04,201.34,1992-12-28,,5,Dry,
1993-01-05,207.08,1992-12-28,,5,Dry,
1993-01-06,212.83,1992-12-28,,5,Dry,
1993-01-07,216.93,1992-12-28,,5,Dry,
1993-01-08,219.39,1992-12-28,,5,Dry,1
1993-01-09,225.68,1992-12-28,,5,Dry,
1993-01-10,231.42,1992-12-28,,5,Dry,
1993-01-11,236.07,1993-01-08,1,5,Dry,
1993-01-12,240.17,1993-01-08,1,5,Dry,
1993-01-13,245.36,1993-01-08,1,5,Dry,
1993-01-14,253.84,1993-01-08,1,5,Dry,
1993-01-15,258.49,1993-01-08,1,5,Dry,
1993-01-16,263.68,1993-01-08,1,5,Dry,
1993-01-17,269.43,1993-01-08,1,5,Dry,
1993-01-18,274.08,1993-01-08,1,5,Dry,1
1993-01-19,282.55,1993-01-08,1,5,Dry,
1993-01-20,292.67,1993-01-08,1,5,Dry,
1993-01-21,302.24,1993-01-18,1,5,Dry,
1993-01-22,309.08,1993-01-18,1,5,Dry,
1993-01-23,317.01,1993-01-18,1,5,Dry,
1993-01-24,327.67,1993-01-18,1,5,Dry,
1993-01-25,338.33,1993-01-18,1,5,Dry,
1993-01-26,347.36,1993-01-18,1,5,Dry,
1993-01-27,356.93,1993-01-18,1,5,Dry,
1993-01-28,365.4,1993-01-18,1,5,Dry,1
1993-01-29,372.24,1993-01-18,1,5,Dry,
1993-01-30,379.62,1993-01-18,1,5,Dry,
1993-01-31,386.46,1993-01-18,1,5,Dry,
1993-02-01,396.03,1993-01-28,1,5,Dry,
1993-02-02,405.05,1993-01-28,1,5,Dry,
1993-02-03,415.17,1993-01-28,1,5,Dry,
1993-02-04,425.29,1993-01-28,1,5,Dry,
1993-02-05,436.5,1993-01-28,1,5,Dry,
1993-02-06,449.9,1993-01-28,1,5,Dry,
1993-02-07,464.39,1993-01-28,1,5,Dry,
1993-02-08,480.52,1993-01-28,1,5,Dry,0.98
1993-02-09,497.75,1993-01-28,1,5,Dry,
1993-02-10,514.97,1993-01-28,1,5,Dry,
1993-02-11,531.11,1993-02-08,0.98,5,Dry,
1993-02-12,549.43,1993-02-08,0.98,5,Dry,
1993-02-13,571.03,1993-02-08,0.98,5,Dry,
1993-02-14,592.08,1993-02-08,0.98,5,Dry,
1993-02-15,614.78,1993-02-08,0.98,5,Dry,
1993-02-16,638.57,1993-02-08,0.98,5,Dry,
1993-02-17,661.81,1993-02-08,0.98,5,Dry,
1993-02-18,685.05,1993-02-08,0.98,5,Dry,0.96
1993-02-19,708.84,1993-02-08,0.98,5,Dry,
1993-02-20,730.99,1993-02-08,0.98,5,Dry,
1993-02-21,751.5,1993-02-18,0.96,5,Dry,
1993-02-22,770.36,1993-02-18,0.96,5,Dry,
1993-02-23,782.66,1993-02-18,0.96,5,Dry,
1993-02-24,799.19,1993-02-18,0.96,5,Dry,
1993-02-25,817.97,1993-02-18,0.96,5,Dry,
1993-02-26,838.41,1993-02-18,0.96,5,Dry,
