date,flow,day,waterMonth,waterDay,waterYear,waterWeek,ewrMeasurementDate,ewrExceedance,ewrFlowBandNumber,ewrFlowBand,ewrMeasureExceedance
1993-01-01,154.18,1,4,93,1992,14,1992-12-28,,5,Dry,
1993-01-02,156.64,2,4,94,1992,14,1992-12-28,,5,Dry,
1993-01-03,159.1,3,4,95,1992,14,1992-12-28,,5,Dry,
1993-01-04,162.66,4,4,96,1992,14,1992-12-28,,5,Dry,
1993-01-05,166.76,5,4,97,1992,14,1992-12-28,,5,Dry,
1993-01-06,170.86,6,4,98,1992,14,1992-12-28,,5,Dry,
1993-01-07,171.13,7,4,99,1992,15,1992-12-28,,5,Dry,
1993-01-08,170.86,8,4,100,1992,15,1992-12-28,,5,Dry,1
1993-01-09,173.87,9,4,101,1992,15,1992-12-28,,5,Dry,
1993-01-10,176.87,10,4,102,1992,15,1992-12-28,,5,Dry,
1993-01-11,178.24,11,4,103,1992,15,1993-01-08,1,5,Dry,
1993-01-12,178.52,12,4,104,1992,15,1993-01-08,1,5,Dry,
1993-01-13,179.88,13,4,105,1992,15,1993-01-08,1,5,Dry,
1993-01-14,183.98,14,4,106,1992,16,1993-01-08,1,5,Dry,
1993-01-15,185.9,15,4,107,1992,16,1993-01-08,1,5,Dry,
1993-01-16,186.17,16,4,108,1992,16,1993-01-08,1,5,Dry,
1993-01-17,188.09,17,4,109,1992,16,1993-01-08,1,5,Dry,
1993-01-18,190,18,4,110,1992,16,1993-01-08,1,5,Dry,1
1993-01-19,193.55,19,4,111,1992,16,1993-01-08,1,5,Dry,
1993-01-20,200.39,20,4,112,1992,16,1993-01-08,1,5,Dry,
1993-01-21,205.04,21,4,113,1992,17,1993-01-18,1,5,Dry,
1993-01-22,208.05,22,4,114,1992,17,1993-01-18,1,5,Dry,
1993-01-23,212.69,23,4,115,1992,17,1993-01-18,1,5,Dry,
1993-01-24,219.53,24,4,116,1992,17,1993-01-18,1,5,Dry,
1993-01-25,226.37,25,4,117,1992,17,1993-01-18,1,5,Dry,
1993-01-26,232.11,26,4,118,1992,17,1993-01-18,1,5,Dry,
1993-01-27,238.4,27,4,119,1992,17,1993-01-18,1,5,Dry,
1993-01-28,243.59,28,4,120,1992,18,1993-01-18,1,5,Dry,1
1993-01-29,247.15,29,4,121,1992,18,1993-01-18,1,5,Dry,
1993-01-30,251.25,30,4,122,1992,18,1993-01-18,1,5,Dry,
1993-01-31,256.44,31,4,123,1992,18,1993-01-18,1,5,Dry,
1993-02-01,262.19,32,5,124,1992,18,1993-01-28,1,5,Dry,
1993-02-02,267.93,33,5,125,1992,18,1993-01-28,1,5,Dry,
