date,flow,day,waterMonth,waterDay,waterYear,waterWeek,ewrMeasurementDate,ewrExceedance,ewrFlowBandNumber,ewrFlowBand,ewrMeasureExceedance
1993-01-01,159.54,1,4,93,1992,14,1992-12-28,,5,Dry,
1993-01-02,162.01,2,4,94,1992,14,1992-12-28,,5,Dry,
1993-01-03,164.47,3,4,95,1992,14,1992-12-28,,5,Dry,
1993-01-04,168.02,4,4,96,1992,14,1992-12-28,,5,Dry,
1993-01-05,172.12,5,4,97,1992,14,1992-12-28,,5,Dry,
1993-01-06,176.22,6,4,98,1992,14,1992-12-28,,5,Dry,
1993-01-07,178.14,7,4,99,1992,15,1992-12-28,,5,Dry,
1993-01-08,178.41,8,4,100,1992,15,1992-12-28,,5,Dry,1
1993-01-09,181.97,9,4,101,1992,15,1992-12-28,,5,Dry,
1993-01-10,184.43,10,4,102,1992,15,1992-12-28,,5,Dry,
1993-01-11,187.44,11,4,103,1992,15,1993-01-08,1,5,Dry,
1993-01-12,188.8,12,4,104,1992,15,1993-01-08,1,5,Dry,
1993-01-13,191.26,13,4,105,1992,15,1993-01-08,1,5,Dry,
1993-01-14,195.91,14,4,106,1992,16,1993-01-08,1,5,Dry,
1993-01-15,198.37,15,4,107,1992,16,1993-01-08,1,5,Dry,
1993-01-16,199.74,16,4,108,1992,16,1993-01-08,1,5,Dry,
1993-01-17,202.2,17,4,109,1992,16,1993-01-08,1,5,Dry,
1993-01-18,203.57,18,4,110,1992,16,1993-01-08,1,5,Dry,1
1993-01-19,208.76,19,4,111,1992,16,1993-01-08,1,5,Dry,
1993-01-20,216.69,20,4,112,1992,16,1993-01-08,1,5,Dry,
1993-01-21,222.44,21,4,113,1992,17,1993-01-18,1,5,Dry,
1993-01-22,226.54,22,4,114,1992,17,1993-01-18,1,5,Dry,
1993-01-23,232.83,23,4,115,1992,17,1993-01-18,1,5,Dry,
1993-01-24,240.76,24,4,116,1992,17,1993-01-18,1,5,Dry,
1993-01-25,249.23,25,4,117,1992,17,1993-01-18,1,5,Dry,
1993-01-26,256.07,26,4,118,1992,17,1993-01-18,1,5,Dry,
1993-01-27,263.45,27,4,119,1992,17,1993-01-18,1,5,Dry,
1993-01-28,269.74,28,4,120,1992,18,1993-01-18,1,5,Dry,1
1993-01-29,276.03,29,4,121,1992,18,1993-01-18,1,5,Dry,
1993-01-30,281.77,30,4,122,1992,18,1993-01-18,1,5,Dry,
1993-01-31,287.51,31,4,123,1992,18,1993-01-18,1,5,Dry,
1993-02-01,294.35,32,5,124,1992,18,1993-01-28,1,5,Dry,
1993-02-02,302.83,33,5,125,1992,18,1993-01-28,1,5,Dry,
1993-02-03,310.76,34,5,126,1992,18,1993-01-28,1,5,Dry,
1993-02-04,318.69,35,5,127,1992,19,1993-01-28,1,5,Dry,
1993-02-05,328.26,36,5,128,1992,19,1993-01-28,1,5,Dry,
1993-02-06,338.92,37,5,129,1992,19,1993-01-28,1,5,Dry,
1993-02-07,351.77,38,5,130,1992,19,1993-01-28,1,5,Dry,
1993-02-08,364.08,39,5,131,1992,19,1993-01-28,1,5,Dry,1
1993-02-09,378.02,40,5,132,1992,19,1993-01-28,1,5,Dry,
1993-02-10,393.06,41,5,133,1992,19,1993-01-28,1,5,Dry,
1993-02-11,406.46,42,5,134,1992,20,1993-02-08,1,5,Dry,
1993-02-12,422.04,43,5,135,1992,20,1993-02-08,1,5,Dry,
1993-02-13,439.82,44,5,136,1992,20,1993-02-08,1,5,Dry,
1993-02-14,459.23,45,5,137,1992,20,1993-02-08,1,5,Dry,
1993-02-15,479.74,46,5,138,1992,20,1993-02-08,1,5,Dry,
1993-02-16,501.34,47,5,139,1992,20,1993-02-08,1,5,Dry,
1993-02-17,524.04,48,5,140,1992,20,1993-02-08,1,5,Dry,
1993-02-18,547.28,49,5,141,1992,21,1993-02-08,1,5,Dry,0.98
1993-02-19,570.52,50,5,142,1992,21,1993-02-08,1,5,Dry,
1993-02-20,593.76,51,5,143,1992,21,1993-02-08,1,5,Dry,
1993-02-21,615.36,52,5,144,1992,21,1993-02-18,0.98,5,Dry,
1993-02-22,638.06,53,5,145,1992,21,1993-02-18,0.98,5,Dry,
1993-02-23,662.4,54,5,146,1992,21,1993-02-18,0.98,5,Dry,
1993-02-24,687.28,55,5,147,1992,21,1993-02-18,0.98,5,Dry,
1993-02-25,713.26,56,5,148,1992,22,1993-02-18,0.98,5,Dry,
1993-02-26,739.78,57,5,149,1992,22,1993-02-18,0.98,5,Dry,
1993-02-27,766.3,58,5,150,1992,22,1993-02-18,0.98,5,Dry,
1993-02-28,784.24,59,5,151,1992,22,1993-02-18,0.98,5,Dry,0.89
1993-03-01,804.36,60,6,152,1992,22,1993-02-28,0.89,4,Mod_Dry,
