date,flow,day,waterMonth,waterDay,waterYear,waterWeek,ewrMeasurementDate,ewrExceedance,ewrFlowBandNumber,ewrFlowBand,ewrMeasureExceedance
1993-01-01,182.97,1,4,93,1992,14,1992-12-28,,5,Dry,
1993-01-02,187.07,2,4,94,1992,14,1992-12-28,,5,Dry,
1993-01-03,190.63,3,4,95,1992,14,1992-12-28,,5,Dry,
1993-01-04,195.28,4,4,96,1992,14,1992-12-28,,5,Dry,
1993-01-05,200.47,5,4,97,1992,14,1992-12-28,,5,Dry,
1993-01-06,205.67,6,4,98,1992,14,1992-12-28,,5,Dry,
1993-01-07,208.67,7,4,99,1992,15,1992-12-28,,5,Dry,
1993-01-08,210.04,8,4,100,1992,15,1992-12-28,,5,Dry,1
1993-01-09,214.69,9,4,101,1992,15,1992-12-28,,5,Dry,
1993-01-10,219.34,10,4,102,1992,15,1992-12-28,,5,Dry,
1993-01-11,222.89,11,4,103,1992,15,1993-01-08,1,5,Dry,
1993-01-12,225.9,12,4,104,1992,15,1993-01-08,1,5,Dry,
1993-01-13,230,13,4,105,1992,15,1993-01-08,1,5,Dry,
1993-01-14,237.39,14,4,106,1992,16,1993-01-08,1,5,Dry,
1993-01-15,240.94,15,4,107,1992,16,1993-01-08,1,5,Dry,
1993-01-16,245.04,16,4,108,1992,16,1993-01-08,1,5,Dry,
1993-01-17,249.69,17,4,109,1992,16,1993-01-08,1,5,Dry,
1993-01-18,254.89,18,4,110,1992,16,1993-01-08,1,5,Dry,1
1993-01-19,261.72,19,4,111,1992,16,1993-01-08,1,5,Dry,
1993-01-20,272.39,20,4,112,1992,16,1993-01-08,1,5,Dry,
1993-01-21,281.41,21,4,113,1992,17,1993-01-18,1,5,Dry,
1993-01-22,288.24,22,4,114,1992,17,1993-01-18,1,5,Dry,
1993-01-23,297.81,23,4,115,1992,17,1993-01-18,1,5,Dry,
1993-01-24,309.03,24,4,116,1992,17,1993-01-18,1,5,Dry,
1993-01-25,320.24,25,4,117,1992,17,1993-01-18,1,5,Dry,
1993-01-26,330.35,26,4,118,1992,17,1993-01-18,1,5,Dry,
1993-01-27,341.02,27,4,119,1992,17,1993-01-18,1,5,Dry,
1993-01-28,350.59,28,4,120,1992,18,1993-01-18,1,5,Dry,1
1993-01-29,360.16,29,4,121,1992,18,1993-01-18,1,5,Dry,
1993-01-30,369.18,30,4,122,1992,18,1993-01-18,1,5,Dry,
1993-01-31,378.21,31,4,123,1992,18,1993-01-18,1,5,Dry,
1993-02-01,388.32,32,5,124,1992,18,1993-01-28,1,5,Dry,
1993-02-02,400.08,33,5,125,1992,18,1993-01-28,1,5,Dry,
1993-02-03,412.39,34,5,126,1992,18,1993-01-28,1,5,Dry,
1993-02-04,425.78,35,5,127,1992,19,1993-01-28,1,5,Dry,
1993-02-05,440.28,36,5,128,1992,19,1993-01-28,1,5,Dry,
1993-02-06,457.5,37,5,129,1992,19,1993-01-28,1,5,Dry,
1993-02-07,476.92,38,5,130,1992,19,1993-01-28,1,5,Dry,
1993-02-08,497.97,39,5,131,1992,19,1993-01-28,1,5,Dry,0.97
1993-02-09,520.12,40,5,132,1992,19,1993-01-28,1,5,Dry,
1993-02-10,543.91,41,5,133,1992,19,1993-01-28,1,5,Dry,
1993-02-11,567.7,42,5,134,1992,20,1993-02-08,0.97,5,Dry,
1993-02-12,593.67,43,5,135,1992,20,1993-02-08,0.97,5,Dry,
1993-02-13,622.93,44,5,136,1992,20,1993-02-08,0.97,5,Dry,
1993-02-14,654.38,45,5,137,1992,20,1993-02-08,0.97,5,Dry,
1993-02-15,688.01,46,5,138,1992,20,1993-02-08,0.97,5,Dry,
1993-02-16,722.19,47,5,139,1992,20,1993-02-08,0.97,5,Dry,
1993-02-17,758.01,48,5,140,1992,20,1993-02-08,0.97,5,Dry,
1993-02-18,783.79,49,5,141,1992,21,1993-02-08,0.97,5,Dry,0.83
1993-02-19,814.09,50,5,142,1992,21,1993-02-08,0.97,5,Dry,
1993-02-20,849.78,51,5,143,1992,21,1993-02-08,0.97,5,Dry,
1993-02-21,889.23,52,5,144,1992,21,1993-02-18,0.83,4,Mod_Dry,
1993-02-22,931.65,53,5,145,1992,21,1993-02-18,0.83,4,Mod_Dry,
1993-02-23,976.57,54,5,146,1992,21,1993-02-18,0.83,4,Mod_Dry,
1993-02-24,1023.68,55,5,147,1992,21,1993-02-18,0.83,4,Mod_Dry,
1993-02-25,1072.73,56,5,148,1992,22,1993-02-18,0.83,4,Mod_Dry,
1993-02-26,1128.98,57,5,149,1992,22,1993-02-18,0.83,4,Mod_Dry,
1993-02-27,1187.19,58,5,150,1992,22,1993-02-18,0.83,4,Mod_Dry,
1993-02-28,1247.2,59,5,151,1992,22,1993-02-18,0.83,4,Mod_Dry,0.54
1993-03-01,1302.94,60,6,152,1992,22,1993-02-28,0.54,3,Normal,
1993-03-02,1353.9,61,6,153,1992,22,1993-02-28,0.54,3,Normal,
1993-03-03,1399.68,62,6,154,1992,22,1993-02-28,0.54,3,Normal,
1993-03-04,1421.29,63,6,155,1992,23,1993-02-28,0.54,3,Normal,
1993-03-05,1443.07,64,6,156,1992,23,1993-02-28,0.54,3,Normal,
1993-03-06,1464.99,65,6,157,1992,23,1993-02-28,0.54,3,Normal,
1993-03-07,1487.07,66,6,158,1992,23,1993-02-28,0.54,3,Normal,
1993-03-08,1509.29,67,6,159,1992,23,1993-02-28,0.54,3,Normal,0.56
1993-03-09,1531.66,68,6,160,1992,23,1993-02-28,0.54,3,Normal,
1993-03-10,1554.17,69,6,161,1992,23,1993-02-28,0.54,3,Normal,
1993-03-11,1583.32,70,6,162,1992,24,1993-03-08,0.56,3,Normal,
1993-03-12,1612.7,71,6,163,1992,24,1993-03-08,0.56,3,Normal,
1993-03-13,1642.31,72,6,164,1992,24,1993-03-08,0.56,3,Normal,
1993-03-14,1678.79,73,6,165,1992,24,1993-03-08,0.56,3,Normal,
1993-03-15,1722.31,74,6,166,1992,24,1993-03-08,0.56,3,Normal,
