year,energy
1924,849413.1882066631
1925,780682.2374679414
1926,878033.9796103522
1927,841866.6801816837
1928,752425.8315428068
1929,875938.3760661655
1930,821913.6060837613
1931,904698.3889655495
1932,770967.639961437
1933,796045.4125659791
1934,875836.3033313712
1935,825622.4261611406
1936,850626.969801474
1937,852686.9084064309
1938,837107.8812161526
1939,907531.8070868835
1940,881618.3418857832
1941,767910.2642266997
1942,818165.4433460583
1943,860654.7102556018
1944,811325.4789950692
1945,877230.0196628971
1946,846613.5168127881
1947,772339.2858439086
1948,636434.250640657
1949,772271.3146028476
1950,860030.4558274188
1951,821688.4250857175
1952,826616.510479665
1953,914707.1891435478
1954,932792.0858119648
1955,869711.4972098581
1956,783759.7406522578
1957,742129.0925753285
1958,945019.9358165888
1959,832184.3422337294
1960,812675.0254548988
1961,894369.1006990697
1962,834066.0885096787
1963,1027081.2483769762
1964,900888.5970884417
1965,870102.2848960679
1966,899309.2931618657
1967,890232.081973982
1968,795658.0503155674
1969,995893.1851401255
1970,967713.1608675605
1971,945987.5800041207
1972,801555.4840726419
1973,934824.4944512446
1974,882325.9018153398
1975,860165.4248942701
1976,965543.3866170796
1977,898978.7569050824
1978,1028603.9426695958
1979,1016892.4613633764
1980,935846.2581877739
1981,797708.5062833105
1982,842743.0820077996
1983,810347.180227509
1984,856499.7592234749
1985,779606.2528752708
1986,912022.7331988029
1987,843541.064093385
1988,860201.3694908973
1989,744890.6858063639
1990,801727.7039997053
1991,675190.6388667992
1992,780390.5460602599
1993,703391.2229023143
1994,560992.0905511528
1995,499453.1714202929
1996,746138.1052043444
1997,800885.7376458277
1998,813738.1784396418
1999,778784.2957810629
2000,838744.8466738536
2001,862868.2924747628
2002,852662.5909238391
2003,831111.5521374627
2004,854531.838109288
2005,866082.9972688891
2006,858199.7895319882
2007,912736.0162762072
2008,830764.3181675985
2009,886066.6676848362
2010,891493.0062394673
2011,924622.784507748
2012,861583.5858096677
2013,950112.8993379328
2014,895043.5059463881
2015,802257.0217033157
2016,868670.2987508349
