Exceedance,Power
0,193
0.01,193
0.02,193
0.03,191
0.04,189
0.05,188
0.06,186
0.07,184
0.08,182
0.09,180
0.1,178
0.11,176
0.12,174
0.13,172
0.14,169
0.15,168
0.16,166
0.17,164
0.18,163
0.19,161
0.2,159
0.21,158
0.22,156
0.23,154
0.24,152
0.25,148
0.26,145
0.27,145
0.28,145
0.29,144
0.3,142
0.31,141
0.32,139
0.33,137
0.34,135
0.35,133
0.36,131
0.37,129
0.38,126
0.39,124
0.4,121
0.41,118
0.42,115
0.43,112
0.44,109
0.45,107
0.46,104
0.47,96.4
0.48,96.4
0.49,95.3
0.5,92.1
0.51,89.2
0.52,86.8
0.53,84.2
0.54,81.3
0.55,78.4
0.56,75.7
0.57,72.6
0.58,70.3
0.59,68.3
0.6,66.4
0.61,64.7
0.62,62.7
0.63,61
0.64,58.8
0.65,57.1
0.66,55.3
0.67,53.7
0.68,52
0.69,50.9
0.7,48.2
0.71,48.2
0.72,48.2
0.73,47.8
0.74,46.5
0.75,45.3
0.76,44.2
0.77,42.8
0.78,41.7
0.79,40.5
0.8,39.2
0.81,38.4
0.82,37.3
0.83,36.4
0.84,35.3
0.85,34.4
0.86,33.7
0.87,32.7
0.88,32
0.89,31.1
0.9,30.6
0.91,29.7
0.92,29
0.93,28.2
0.94,27.4
0.95,26.1
0.96,25
0.97,23.6
0.98,19.7
0.99,0
1,0
