Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0,8630,193,142000,25.6,1100,25.4,0.938,1.87,0.48,0.89,0.87,50.4,1
0.01,5260,189,138000,25.6,1100,25.4,0.937,1.87,0.46,0.88,0.79,49.5,0.516
0.02,4580,185,136000,25.6,1100,25.4,0.936,1.87,0.45,0.87,0.76,48.9,0.267
0.03,4170,183,133000,25.5,1100,25.4,0.936,1.87,0.44,0.86,0.74,48.7,0.167
0.04,3880,181,132000,25.5,1100,25.3,0.936,1.87,0.44,0.86,0.72,48.4,0.0333
0.05,3510,179,131000,25.5,1100,25.3,0.936,1.87,0.44,0.85,0.69,48,0
0.06,3320,178,129000,25.5,1100,25.3,0.935,1.87,0.43,0.85,0.67,47.6,0
0.07,3180,177,128000,25.5,1100,25.3,0.935,1.87,0.43,0.85,0.65,47.3,0
0.08,3040,176,127000,25.5,1100,25.2,0.935,1.87,0.42,0.84,0.64,47.1,0
0.09,2950,174,126000,25.4,1100,25.2,0.935,1.87,0.42,0.84,0.63,47,0
0.1,2810,173,125000,25.4,1100,25.1,0.935,1.87,0.42,0.84,0.61,46.8,0
0.11,2680,171,124000,25.4,1100,25.1,0.934,1.87,0.41,0.83,0.59,46.7,0
0.12,2600,170,123000,25.3,1100,25.1,0.934,1.87,0.41,0.83,0.58,46.5,0
0.13,2510,168,122000,25.3,1100,25,0.934,1.87,0.4,0.82,0.56,46.3,0
0.14,2380,167,121000,25.2,1100,25,0.934,1.87,0.4,0.82,0.54,46.2,0
0.15,2310,166,120000,25.2,1100,24.9,0.934,1.87,0.4,0.82,0.52,46.1,0
0.16,2230,164,119000,25.2,1100,24.9,0.934,1.86,0.39,0.81,0.51,46,0
0.17,2100,163,117000,25.2,1100,24.9,0.934,1.86,0.39,0.81,0.48,45.8,0
0.18,1970,162,116000,25.2,1100,24.9,0.934,1.85,0.38,0.81,0.46,45.6,0
0.19,1870,161,115000,25.1,1100,24.8,0.933,1.82,0.38,0.8,0.46,45.4,0
0.2,1770,158,115000,25.1,1090,24.8,0.933,1.8,0.38,0.8,0.45,45.3,0
0.21,1680,156,114000,25.1,1090,24.8,0.933,1.78,0.37,0.79,0.44,45.1,0
0.22,1630,155,113000,25.1,1080,24.7,0.933,1.74,0.37,0.79,0.44,44.8,0
0.23,1540,154,112000,25,1070,24.7,0.933,1.72,0.36,0.78,0.44,44.6,0
0.24,1460,152,110000,25,1060,24.7,0.932,1.66,0.36,0.78,0.43,44.3,0
0.25,1410,151,109000,24.9,1040,24.6,0.932,1.61,0.36,0.77,0.43,44.2,0
0.26,1330,149,108000,24.9,1010,24.6,0.932,1.54,0.35,0.77,0.423,43.8,0
0.27,1280,148,107000,24.9,990,24.6,0.932,1.49,0.35,0.76,0.42,43.6,0
0.28,1240,146,105000,24.9,969,24.5,0.931,1.44,0.35,0.76,0.42,43.1,0
0.29,1200,145,104000,24.8,939,24.5,0.931,1.37,0.34,0.75,0.42,42.8,0
0.3,1150,144,103000,24.8,925,24.5,0.931,1.32,0.34,0.75,0.41,42.4,0
0.31,1110,142,102000,24.7,903,24.4,0.93,1.26,0.33,0.74,0.41,42.1,0
0.32,1060,140,101000,24.7,872,24.4,0.93,1.18,0.33,0.74,0.41,41.8,0
0.33,1020,138,99800,24.6,847,24.3,0.93,1.13,0.32,0.73,0.4,41.6,0
0.34,988,136,98000,24.6,816,24.2,0.929,1.07,0.32,0.73,0.4,41.3,0
0.35,965,134,96900,24.5,794,24.2,0.929,1.04,0.31,0.72,0.394,41.1,0
0.36,930,132,95400,24.5,774,24.2,0.928,0.999,0.31,0.714,0.39,40.9,0
0.37,902,130,93800,24.4,757,24.1,0.928,0.967,0.3,0.71,0.39,40.7,0
0.38,870,127,92000,24.4,734,24,0.927,0.927,0.3,0.7,0.38,40.5,0
0.39,856,124,90200,24.3,712,24,0.927,0.902,0.29,0.7,0.38,40.3,0
0.4,837,123,88200,24.3,688,23.9,0.927,0.868,0.28,0.7,0.38,40.2,0
0.41,815,119,86600,24.2,659,23.8,0.926,0.827,0.27,0.69,0.37,40,0
0.42,780,117,85800,24.2,637,23.8,0.926,0.778,0.26,0.69,0.37,39.8,0
0.43,758,115,83200,24.1,616,23.7,0.925,0.762,0.26,0.68,0.37,39.6,0
0.44,745,111,81100,24,605,23.6,0.925,0.741,0.25,0.68,0.36,39.5,0
