Exceedance,Power
0,193
0.01,193
0.02,193
0.03,193
0.04,193
0.05,193
0.06,191
0.07,190
0.08,187
0.09,185
0.1,183
0.11,181
0.12,179
0.13,177
0.14,175
0.15,173
0.16,171
0.17,169
0.18,168
0.19,166
0.2,165
0.21,163
0.22,161
0.23,159
0.24,157
0.25,155
0.26,153
0.27,149
0.28,146
0.29,145
0.3,145
0.31,145
0.32,143
0.33,141
0.34,139
0.35,137
0.36,135
0.37,133
0.38,130
0.39,128
0.4,125
0.41,122
0.42,119
0.43,116
0.44,113
0.45,110
0.46,107
0.47,103
0.48,96.4
0.49,96.4
0.5,95.4
0.51,92.5
0.52,89.7
0.53,87.1
0.54,84.1
0.55,81.4
0.56,78.8
0.57,75.6
0.58,72.7
0.59,70.6
0.6,68.5
0.61,66.7
0.62,64.7
0.63,63.1
0.64,61
0.65,59
0.66,57.1
0.67,55.4
0.68,53.8
0.69,52.5
0.7,51
0.71,49.7
0.72,48.2
0.73,48.2
0.74,48
0.75,46.8
0.76,45.5
0.77,44.3
0.78,43
0.79,41.7
0.8,40.6
0.81,39.5
0.82,38.4
0.83,37.5
0.84,36.5
0.85,35.5
0.86,34.7
0.87,33.7
0.88,32.9
0.89,32.1
0.9,31.4
0.91,30.6
0.92,29.9
0.93,29.1
0.94,28.2
0.95,27.2
0.96,26.1
0.97,24.6
0.98,22.6
0.99,0
1,0
