Exceedance,Energy,RiverVolume,CapFactor,EFlowProportion,SpecificEnergy,ShutoffDaysProportion
0,1055,73.9,0.669,0.25,45.4,0.118
0.01,1052,68.2,0.667,0.23,45.3,0.069
0.02,1041,66.8,0.66,0.23,44.9,0.047
0.03,1021,60.1,0.647,0.22,44.8,0.0439
0.04,999.8,59.2,0.635,0.21,44.6,0.0412
0.05,994.8,56.6,0.631,0.21,44.6,0.0411
0.06,972.5,55.3,0.617,0.21,44.1,0.0282
0.07,969.1,54.5,0.614,0.201,44,0.0274
0.08,968.9,53.9,0.614,0.2,43.6,0.0274
0.09,961.3,53.6,0.609,0.2,43.4,0.0274
0.1,959.4,51.2,0.608,0.2,43.2,0.0249
0.11,955,50.8,0.605,0.2,43.2,0.0222
0.12,949,50.8,0.601,0.191,42.8,0.0195
0.13,946.4,50.2,0.6,0.19,42.2,0.0168
0.14,942.8,49.4,0.598,0.19,41.4,0.0164
0.15,941.7,48.5,0.597,0.19,41.2,0.0164
0.16,939.9,48.1,0.596,0.19,40.1,0.0141
0.17,935.1,47.5,0.593,0.19,39.7,0.0114
0.18,930.3,47.3,0.59,0.19,39.5,0.011
0.19,926.8,47,0.587,0.19,39.3,0.011
0.2,926.1,46.5,0.587,0.182,39,0.00877
0.21,924,44.3,0.586,0.18,38.1,0.00605
0.22,922.3,43.7,0.585,0.18,37.8,0.00334
0.23,920.1,43.1,0.583,0.18,37.3,0.00063
0.24,917.1,42.8,0.581,0.18,35.6,0
0.25,915.3,42.6,0.58,0.18,34.9,0
0.26,913.7,42.4,0.579,0.173,33.8,0
0.27,909.4,42.3,0.577,0.17,33.3,0
0.28,907.8,42.1,0.576,0.163,33.1,0
0.29,906.2,41.7,0.575,0.16,32.6,0
0.3,903.9,41.4,0.573,0.16,32.3,0
0.31,898.9,41,0.57,0.16,31.7,0
0.32,896.8,39.9,0.569,0.16,30.9,0
0.33,896.5,39.2,0.569,0.16,30.2,0
0.34,893.8,38.9,0.567,0.16,29.8,0
0.35,890.9,38.7,0.565,0.16,29.7,0
0.36,887.7,38.6,0.563,0.16,29.6,0
0.37,886.4,38.5,0.562,0.16,29.5,0
0.38,885.3,38.2,0.561,0.16,29.3,0
0.39,881.2,37.1,0.559,0.16,29,0
0.4,879,36.5,0.557,0.16,28.9,0
0.41,877.9,36.3,0.556,0.16,28.8,0
0.42,876.7,36.1,0.556,0.16,28.4,0
0.43,876.2,35.7,0.556,0.154,28.1,0
0.44,875.9,35.5,0.555,0.15,27.9,0
0.45,875.2,35.3,0.555,0.15,27.6,0
0.46,874.7,35.1,0.555,0.15,27.5,0
0.47,874.1,34.8,0.554,0.15,27.4,0
0.48,873.3,34.4,0.554,0.15,27.1,0
0.49,872.7,34.3,0.553,0.15,26.8,0
0.5,871.5,34.3,0.552,0.15,26.7,0
0.51,870.4,34.2,0.552,0.15,26.5,0
0.52,869.8,34.1,0.552,0.15,26.2,0
0.53,868.9,33.8,0.551,0.15,26,0
0.54,867.8,33.1,0.551,0.15,25.8,0
0.55,866.5,32.4,0.55,0.15,25.5,0
0.56,865.8,32,0.549,0.15,25.4,0
0.57,865.7,31.6,0.549,0.146,25.2,0
0.58,865.5,31.5,0.549,0.14,24.9,0
0.59,865.2,31.3,0.549,0.14,24.7,0
0.6,863.6,30.9,0.548,0.14,24.2,0
0.61,860.5,30.6,0.546,0.14,23.5,0
0.62,858.5,30.4,0.545,0.14,23.3,0
0.63,855.5,30.3,0.543,0.14,23.1,0
0.64,852.5,30.1,0.541,0.14,23,0
0.65,850.7,29.8,0.54,0.14,22.8,0
0.66,846.6,29,0.537,0.14,22.6,0
0.67,843,27.8,0.535,0.14,22.5,0
0.68,839.6,27.6,0.533,0.14,22.5,0
0.69,838.9,27.3,0.532,0.14,22.3,0
0.7,838.1,27,0.532,0.14,22.2,0
0.71,837.2,26.3,0.531,0.14,22.1,0
0.72,835.5,25.7,0.53,0.137,22,0
0.73,831,25.3,0.527,0.13,21.8,0
0.74,829.9,25.1,0.526,0.13,21.4,0
0.75,829.2,24.8,0.526,0.13,20.9,0
0.76,827.4,24.6,0.525,0.13,20.8,0
0.77,823.6,24.3,0.522,0.13,20.7,0
0.78,818.1,23.7,0.519,0.13,20.4,0
0.79,817.4,23.1,0.518,0.13,19.8,0
0.8,816.9,22.8,0.518,0.13,19.1,0
0.81,816.6,22.1,0.518,0.128,18.7,0
0.82,812.3,21.6,0.515,0.12,18.4,0
0.83,796.8,21.1,0.505,0.12,18.2,0
0.84,795.2,20.8,0.505,0.12,18.2,0
0.85,792.6,20.6,0.503,0.12,17.9,0
0.86,791.6,20.1,0.502,0.12,17.6,0
0.87,786.6,19.3,0.499,0.12,17.5,0
0.88,784.5,18.9,0.498,0.12,17.2,0
0.89,783.3,18.7,0.497,0.12,17.1,0
0.9,781.5,18.6,0.495,0.12,17,0
0.91,772.7,18.2,0.49,0.12,16.9,0
0.92,769.6,18,0.488,0.12,16.8,0
0.93,766,17.6,0.486,0.119,16.6,0
0.94,737.8,17.1,0.468,0.11,16.2,0
0.95,718.1,16.3,0.455,0.11,16,0
0.96,717.4,16.1,0.455,0.11,15.4,0
0.97,707.2,15.6,0.448,0.11,15.3,0
0.98,658.6,14.8,0.418,0.1,13.7,0
0.99,567.4,13.1,0.36,0.0979,12.7,0
1,514.5,11.7,0.326,0.084,10.6,0
