Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
10,1,238.7,134.5,445.8,52360,13180,23550,70.38,17.72,31.65,0.4,0.6,0.4,0,0.025,0,0.18,36.6
11,2,275.7,153.2,546.2,66310,16510,29600,92.09,22.93,41.11,0.33,0.67,0.33,0,0.0077,0,0.23,41.2
12,3,438.4,229.8,832.7,105000,28640,53850,141.1,38.49,72.37,0.24,0.77,0.23,0,0,0,0.4,45.9
1,4,737.5,331.5,1712,133200,42040,87800,179,56.51,118,0.17,0.81,0.19,0,0,0,0.66,46
2,5,1369,462.8,8627,131500,9409,101900,188.9,14,150.3,0.13,0.75,0.25,0,0,0.0082,0.84,39.1
3,6,2527,617.6,7963,140100,15000,109100,188.3,20.16,146.7,0.096,0.53,0.47,0,0,0.014,0.81,24.3
4,7,2954,670.2,7415,138800,19090,102900,192.8,26.51,142.9,0.087,0.45,0.55,0,0,0.0057,0.79,18.7
5,8,2244,716.3,5262,142500,65170,117600,191.5,87.6,158,0.13,0.54,0.46,0,0,0,0.88,23.8
6,9,1226,328.4,2829,131100,33280,109000,182.1,46.22,151.4,0.2,0.72,0.28,0,0,0,0.84,36.9
7,10,613.1,242.7,1321,127100,22320,64540,170.8,30,86.74,0.32,0.68,0.32,0,0,0,0.48,39.4
8,11,393.2,198.9,711.9,78090,9321,38320,105,12.53,51.51,0.4,0.6,0.4,0,0.0097,0,0.29,36.2
9,12,289.1,151.8,505,55550,12250,27270,77.15,17.02,37.87,0.41,0.59,0.41,0,0.011,0,0.21,36.2
