Exceedance,Power
0,193
0.01,193
0.02,193
0.03,191
0.04,189
0.05,188
0.06,186
0.07,184
0.08,182
0.09,180
0.1,178
0.11,176
0.12,174
0.13,172
0.14,169
0.15,168
0.16,166
0.17,164
0.18,163
0.19,161
0.2,159
0.21,158
0.22,156
0.23,154
0.24,152
0.25,148
0.26,145
0.27,145
0.28,145
0.29,144
0.3,142
0.31,141
0.32,139
0.33,137
0.34,135
0.35,133
0.36,131
0.37,129
0.38,126
0.39,124
0.4,121
0.41,118
0.42,115
0.43,112
0.44,109
0.45,107
0.46,104
0.47,96.4
0.48,96.4
0.49,95.3
0.5,92.1
0.51,89.2
0.52,86.8
0.53,84.2
0.54,81.5
0.55,78.9
0.56,76.5
0.57,73.6
0.58,71.3
0.59,69.3
0.6,67.4
0.61,65.6
0.62,63.8
0.63,62.1
0.64,60.5
0.65,58.5
0.66,56.6
0.67,55.2
0.68,53.4
0.69,51.9
0.7,50.6
0.71,48.2
0.72,48.2
0.73,48.2
0.74,47.6
0.75,46.3
0.76,45.1
0.77,44.1
0.78,42.7
0.79,41.6
0.8,40.3
0.81,39.1
0.82,38.1
0.83,37.2
0.84,36.2
0.85,35.3
0.86,34.4
0.87,33.6
0.88,32.6
0.89,31.9
0.9,31.1
0.91,30.4
0.92,29.6
0.93,28.9
0.94,28.1
0.95,27.2
0.96,26
0.97,24.8
0.98,23.6
0.99,19.1
1,0
