exceedance,vicFallsFull,sioma,vicFallsOverlap,vicFallsRatio,vicFallsRatioSmoothed,ngonyeScaled,conversionFactor
0,92.0043,160.8168222159593,144.0799,0.6385644354278425,0.6385644354278425,102.69190328563376,1.1161641715184372
0.001,100,163.3656930070293,146.638,0.6819514723332287,0.6819514723332287,111.40747487488188,1.114074748748819
0.002,107.1446,164.2188515267818,146.638,0.7306741772255486,0.7306741772255486,119.99047422425582,1.1198928758356075
0.003,115.2667,165.9304595985587,151.8414,0.759125640306267,0.759125640306267,125.96206638906904,1.092787998520553
0.004,128.1598,167.24309335881,154.487,0.8295830717147721,0.8295830717147721,138.742039111682,1.0825706587532284
0.005,134.8006795,169.29705298390854,157.162,0.8577180202593502,0.8577180202593502,145.20913312110034,1.0772136584155745
0.006,141.5506,171.10747755036653,157.4768636,0.8988660096733092,0.8988660096733092,153.8026955709633,1.0865562955647188
0.007,146.69544430000002,171.97644771389704,161.8731194,0.9062372112413867,0.9062372112413867,155.8514563754422,1.062415108520464
0.008,149.1437,172.84716552251726,162.601,0.9172372863635525,0.9172372863635525,158.5418650595055,1.0630141605679992
0.009,151.5999,174.59383682956306,162.601,0.9323429745204519,0.9323429745204519,162.78133716261326,1.0737562304633002
0.01,154.0815,175.31211574270864,165.165626,0.9328908425534015,0.9347638507196826,163.87542838946902,1.0635632985755528
0.011,156.5885,176.3474770540184,165.3653,0.9469247780519856,0.9428235562889605,166.2645554586555,1.0617928868253768
0.012,159.1211,178.10807189475102,168.1596,0.9462504668184273,0.9499474611195914,169.19331070132438,1.0632990263473818
0.013,161.6793,178.99097285853009,168.1596,0.9614633954885716,0.9561261845208898,171.13795594290852,1.0585025785175253
0.014,161.879705,179.87560716534924,168.1596,0.9626551502263325,0.9621549844366145,173.06821201270319,1.069116181134029
0.015,164.2633,180.76197305957083,169.8506,0.9671046201779682,0.9683664309796816,175.04382670854196,1.0656295515099354
0.016,166.8731,181.6500687925283,171.0476832,0.9755940383295411,0.9752520616453919,177.15460408794047,1.0616127110237688
0.017,169.5089,181.6500687925283,173.8388,0.9750924419634743,0.9814438335574271,178.27933988170932,1.051740291404813
0.018,172.1708,182.5398926224803,173.8388,0.9904049038534551,0.9851353655602654,179.82650384797873,1.0444657505684978
0.019,174.01798919999996,183.66190771971452,174.9892,0.9944498814783995,0.9899816111737652,181.82191131561035,1.0448454906960296
0.02,177.5733,184.32471764073594,176.724,1.0048057988728187,0.9916902331306717,182.79302220888667,1.0293947468954323
0.021,177.5733,187.02476974171023,179.6399,0.9884958742462002,0.9933372927217222,185.7786784471339,1.046208402091609
0.022,179.8246308,188.2793853760371,179.6399,1.0010283394724668,0.9947080207426573,187.2830147740419,1.0414758753617968
0.023,180.3141,189.5271204346934,182.5865,0.9875543920278881,0.9957406274067847,188.71985381224283,1.0466172851276903
0.024,183.0814,189.72048799246488,185.5639,0.9866218591008273,0.9974652679819213,189.23959739706487,1.033636390136108
0.025,185.5639,190.62578743620244,185.5639,1,0.998883515932026,190.4129567815849,1.0261314662042829
0.026,185.8753,191.4711212164861,185.5639,1.0016781281272922,0.9986853161867874,191.2193972327251,1.0287509810756195
0.027,188.6959,192.44151780543714,185.5639,1.016878282898775,0.9999933310034848,192.44023441362552,1.0198432208311126
0.028,188.6959,193.35194540006168,188.99382799999998,0.9984236098969328,0.9996005299719533,193.27470709300982,1.0242655356741182
0.029,191.5433,194.2640790580355,191.6121,0.9996409412557975,0.9958207566823419,193.4522022037712,1.0099659043347964
0.03,191.5433,195.05446275270938,192.175462,0.9967104957447688,0.9931484477503228,193.71803690962648,1.0113537613146817
0.031,191.5433,195.1779171297484,194.6831,0.9838722518801066,0.9883046881366634,192.89525052007954,1.0070581979118014
0.032,191.6121,196.29892017431914,196.81963519999996,0.9735415869727211,0.9864390682867878,193.6369239224579,1.01056730719228
0.033,194.4177,197.92964142478692,197.7856,0.9829719656031582,0.9839302777992502,194.74896707179659,1.0017038935847744
0.034,194.4177,198.83923310756722,197.7856,0.9829719656031582,0.979663816733164,194.79560202245463,1.0019437634662618
0.035,197.1984635,198.85028077982773,200.127475,0.9853642709478047,0.9775579343168815,194.38766971746028,0.9857463707746399
0.036,197.3191,199.77261639355586,200.9197,0.9820794078430337,0.9774034425908148,195.25844299843575,0.9895567281547288
0.037,197.3191,199.77261639355586,204.0855,0.966845268282166,0.9771495398419996,195.20772018199543,0.9892996683138907
0.038,197.7856,200.69664665327844,204.0855,0.9691310749661294,0.9768956370931844,196.05967849482016,0.9912737757188601
0.039,198.4650149,202.54978468995847,204.0855,0.9724601448902543,0.9767704375227536,197.84464181175028,0.996874143845643
0.04,200.2476,202.54978468995847,204.0855,0.9811946463614515,0.9765187030345827,197.79365304537222,0.9877454363766268
0.041,200.2476,203.47888927143703,204.0855,0.9811946463614515,0.9784432741979643,199.09255064890988,0.9942318941595798
0.042,200.9197,204.409682107876,204.0855,0.9844878739547887,0.9784913926802608,200.01311452306496,0.9954878218664718
0.043,203.2033,205.34216161625932,207.2832,0.9803172664258368,0.9775761045804806,200.73759045895827,0.9878657997136772
0.044,203.2033,205.34216161625932,207.2832,0.9803172664258368,0.9751915596648632,200.24794285151432,0.9854561557391751
0.045,204.0855,206.2763262193926,210.5129,0.9694679043422042,0.9728070147492456,200.66705712292884,0.9832499473158497
0.046,204.0855,207.21217434586416,211.2570148,0.9660531281917933,0.9678609914561307,200.5525805041687,0.98268902251345
0.047,206.1864,208.1497044300106,213.7748,0.964502831952129,0.9635107692385805,200.55448183214267,0.9726853072372508
0.048,206.1864,208.46527915191825,213.7748,0.964502831952129,0.9591605470210302,199.95167118624568,0.9697616874160744
0.049,206.1864,209.08891491187862,217.069,0.9498657109029848,0.9560821755531299,199.90618465299218,0.9695410786210545
0.05,206.1864,209.1830038444097,217.069,0.9498657109029848,0.9536729015421318,199.4921622295971,0.967533077979911
0.051,206.1864,211.4274956805451,217.069,0.9498657109029848,0.9514850984225144,201.17011153682918,0.9756710992423806
0.052,207.2832,211.9166132291764,218.6717784,0.9479193040669028,0.9501294467722817,201.34821448929296,0.9713677446570342
0.053,209.197,211.9166132291764,220.3957,0.9491882101148071,0.9499365686287143,201.30734040634223,0.9622859811868346
0.054,209.197,212.86252981534378,220.3957,0.9491882101148071,0.9497436904851471,202.16484463282924,0.9663850085461514
0.055,210.5129,213.81011908386543,220.42929299999997,0.9550132704005,0.9495508123415798,203.02357226293432,0.9644234261317682
0.056,212.2351,214.7593795082996,223.755,0.9485155638980134,0.9498170994595118,203.98213092629763,0.9611140236760914
0.057,212.2351,215.7103095676693,223.755,0.9485155638980134,0.9516783137632696,205.2868236707124,0.9672614175068706
0.058,212.2351,216.6629077464265,223.755,0.9485155638980134,0.9535395280670275,206.59664680215744,0.9734329844693806
0.059,212.51876539999986,217.61717253441904,223.755,0.9497833138924264,0.9537574323792438,207.55399571805842,0.9766384409743919
0.06,215.3008,217.61717253441904,223.755,0.962216710241112,0.9556076094560506,207.9566260222011,0.9658887752493307
0.061,215.3008,218.5731024268557,223.755,0.962216710241112,0.9574577865328574,209.2745188452368,0.9720099453659103
0.062,217.069,218.5731024268557,226.9317724,0.9565386005860147,0.9593079636096642,209.6789177889535,0.9659551469300246
0.063,218.3943,219.53069592427562,227.147,0.9614668034356606,0.9608210747439194,210.92971919724306,0.9658206244267504
0.064,218.3943,219.53069592427562,227.147,0.9614668034356606,0.9606076085805958,210.88285682185236,0.9656060475106373
0.065,218.3943,220.4899515325134,227.147,0.9614668034356606,0.961728243530944,212.05141380358708,0.9709567227880357
0.066,220.3957,221.45086776266785,229.48918799999998,0.9603750918322131,0.9637134175634515,213.4151725939526,0.9683272976466991
0.067,221.5156,222.4134431310677,230.5719,0.9607224470978467,0.9655583161116225,214.75314963022183,0.969471900083885
0.068,223.66884360000012,222.4134431310677,230.5719,0.9700611548935499,0.9674032146597933,215.16347986854802,0.9619734085688629
0.069,223.755,223.37767615924224,230.5719,0.9704348188135674,0.9692481132079642,216.5083911501252,0.9676136450587706
0.07,224.6649,224.34356537388786,230.5719,0.9743810932728576,0.97046830573191,217.71831979025293,0.9690802603800279
0.071,224.6649,225.3111093068375,230.5719,0.9743810932728576,0.9703628355556335,218.63352690916813,0.9731539146042312
0.072,224.6649,226.28030649502776,230.5719,0.9743810932728576,0.9704383948784778,219.59109742764474,0.977416131436841
0.073,224.6649,227.14047869613,231.87231719999997,0.9689164394998335,0.9708850006648377,220.52728380990374,0.9815831659057723
0.074,224.6649,227.25115548047052,234.0298,0.9599841558639113,0.9704261175910837,220.5304565310007,0.9815972879208132
0.075,227.147,227.25115548047052,234.0298,0.9705900701534591,0.968264817083601,220.03929849333477,0.9687088030805372
0.076,227.8423,228.22365481022067,234.0298,0.9735610593180869,0.9677452374575858,220.86235501775508,0.969365017021664
0.077,227.8423,228.22365481022067,234.60625359999997,0.9711689117565792,0.9680063226562883,220.92194083601981,0.9696265392160272
0.078,227.8423,229.19780303634636,237.5208,0.9592519897204792,0.9698297390908424,222.28284551893407,0.9755995507372164
0.079,230.5719,229.19780303634636,237.5208,0.9707440358907514,0.9701380249126038,222.35350395198904,0.9643564716775507
0.08,230.5719,230.17359871589755,237.5208,0.9707440358907514,0.9700218837108471,223.27342780689955,0.968346220015967
0.081,231.0479,230.17359871589755,237.5208,0.9727480709057901,0.9699828841680542,223.26445114178665,0.9663124016352741
0.082,231.0479,231.1510404108784,237.5208,0.9727480709057901,0.9717955923758504,224.63156224438373,0.9722294045710164
0.083,231.0479,231.1510404108784,237.5208,0.9727480709057901,0.9719665797021791,224.67108614276168,0.9724004682265525
0.084,234.0298,231.16473226595494,241.0452,0.9708959149570288,0.972137567028508,224.72392040782185,0.9602363477122223
0.085,234.2817,232.1301266882161,241.0452,0.9719409471750526,0.9718944346362707,225.60597823968968,0.962968845794143
0.086,234.2817,232.1301266882161,241.0452,0.9719409471750526,0.9716647934931186,225.55267161203696,0.9627413136068116
0.087,234.2817,233.02840033719255,241.0452,0.9719409471750526,0.9714351523499666,226.37197958342963,0.9662384197460989
0.088,237.5208,233.11085611973232,244.603,0.9710461441601289,0.9733907791725355,226.90795787196305,0.9553182621141518
0.089,237.5439,233.11085611973232,244.603,0.9711405829037256,0.9751982727718668,227.3293042523341,0.9569991241717177
0.09,237.5439,234.0932272821124,244.603,0.9711405829037256,0.9763091595523239,228.5473619846903,0.9621268404900748
0.091,240.8325187999999,234.0932272821124,244.603,0.9845853027150112,0.9779918841656892,228.94127642006,0.9506244321190902
