date,datetime,days,waterYear,waterWeek,flowMean,flowMin,flowMax,flowMedian,flowChange,volume,flowMeanVariance,flowMeanCalWeeklyExceedance
-1428019200000,1924-10-01T02:00:00.000+02:00,7,1924,1,100,100,100,100,0,60,-0.5951417004048583,1
-1427414400000,1924-10-08T02:00:00.000+02:00,7,1924,2,105,100,111,100,11,63,-0.5606694560669456,1
-1426809600000,1924-10-15T02:00:00.000+02:00,7,1924,3,113,111,122,111,11,68,-0.5150214592274678,0.99
-1426204800000,1924-10-22T02:00:00.000+02:00,7,1924,4,126,124,127,126,1,76,-0.46382978723404256,0.9797355371900827
-1425600000000,1924-10-29T02:00:00.000+02:00,7,1924,5,130,126,138,128,12,78,-0.4605809128630705,0.9794750656167979
-1424995200000,1924-11-05T02:00:00.000+02:00,7,1924,6,140,139,145,139,7,85,-0.4444444444444444,0.9774025974025974
-1424390400000,1924-11-12T02:00:00.000+02:00,7,1924,7,144,144,145,144,2,87,-0.4646840148698885,1
-1423785600000,1924-11-19T02:00:00.000+02:00,7,1924,8,165,157,175,166,18,100,-0.43686006825938567,0.99
-1423180800000,1924-11-26T02:00:00.000+02:00,7,1924,9,189,180,193,191,13,115,-0.42024539877300615,0.9891304347826088
-1422576000000,1924-12-03T02:00:00.000+02:00,7,1924,10,231,199,250,243,47,140,-0.37228260869565216,0.9572815533980582
-1421971200000,1924-12-10T02:00:00.000+02:00,7,1924,11,265,250,271,267,20,160,-0.35207823960880197,0.9464125560538116
-1421366400000,1924-12-17T02:00:00.000+02:00,7,1924,12,281,274,284,281,8,170,-0.381057268722467,0.9659744408945686
-1420761600000,1924-12-24T02:00:00.000+02:00,7,1924,13,326,284,377,326,94,197,-0.35952848722986247,0.9640550458715597
-1420156800000,1924-12-31T02:00:00.000+02:00,7,1924,14,502,418,563,517,77,303,-0.11619718309859155,0.54
-1419552000000,1925-01-07T02:00:00.000+02:00,7,1924,15,543,512,583,533,71,328,-0.1380952380952381,0.6097087378640776
