date,flow,FDCPercentile,calMonthlyFDCPercentile,day,waterYear,waterMonth,waterDay,waterWeek,ewrMeasureExceedance,ewrExceedance,ewrFlowBandNumber,ewrFlowBand
1924-10-01,136.4602528773752,0.9975801116272822,0.98,275,1924,1,1,1,0.97,0.97,5,Dry
1924-10-02,136.4602528773752,0.9975801116272822,0.98,276,1924,1,2,1,,0.97,5,Dry
1924-10-03,136.4602528773752,0.9975801116272822,0.98,277,1924,1,3,1,,0.97,5,Dry
1924-10-04,136.4602528773752,0.9975801116272822,0.98,278,1924,1,4,1,,0.97,5,Dry
1924-10-05,136.4602528773752,0.9975801116272822,0.98,279,1924,1,5,1,,0.97,5,Dry
1924-10-06,136.4602528773752,0.9975801116272822,0.98,280,1924,1,6,1,,0.97,5,Dry
1924-10-07,136.4602528773752,0.9975801116272822,0.98,281,1924,1,7,1,,0.97,5,Dry
1924-10-08,136.4602528773752,0.9975801116272822,0.98,282,1924,1,8,2,0.97,0.97,5,Dry
1924-10-09,136.4602528773752,0.9975801116272822,0.98,283,1924,1,9,2,,0.97,5,Dry
1924-10-10,136.4602528773752,0.9975801116272822,0.98,284,1924,1,10,2,,0.97,5,Dry
1924-10-11,136.4602528773752,0.9975801116272822,0.98,285,1924,1,11,2,,0.97,5,Dry
1924-10-12,136.4602528773752,0.9975801116272822,0.98,286,1924,1,12,2,,0.97,5,Dry
1924-10-13,136.4602528773752,0.9975801116272822,0.98,287,1924,1,13,2,,0.97,5,Dry
1924-10-14,136.4602528773752,0.9975801116272822,0.98,288,1924,1,14,2,,0.97,5,Dry
1924-10-15,136.4602528773752,0.9975801116272822,0.98,289,1924,1,15,3,,0.97,5,Dry
1924-10-16,136.4602528773752,0.9975801116272822,0.98,290,1924,1,16,3,,0.97,5,Dry
1924-10-17,136.4602528773752,0.9975801116272822,0.98,291,1924,1,17,3,,0.97,5,Dry
1924-10-18,136.4602528773752,0.9975801116272822,0.98,292,1924,1,18,3,1,0.97,5,Dry
1924-10-19,136.4602528773752,0.9975801116272822,0.98,293,1924,1,19,3,,0.97,5,Dry
1924-10-20,136.4602528773752,0.9975801116272822,0.98,294,1924,1,20,3,,0.97,5,Dry
1924-10-21,133.7790105437726,0.9983242240833269,0.9929063961933352,295,1924,1,21,3,,1,5,Dry
1924-10-22,136.2535645022697,0.9976374728708028,0.9899737169461043,296,1924,1,22,4,,1,5,Dry
1924-10-23,136.2535645022697,0.9976374728708028,0.9899737169461043,297,1924,1,23,4,,1,5,Dry
1924-10-24,138.75680112503707,0.9969427614946306,0.9767461757453205,298,1924,1,24,4,,1,5,Dry
1924-10-25,127.74072789856713,1,1,299,1924,1,25,4,,1,5,Dry
1924-10-26,127.74072789856713,1,1,300,1924,1,26,4,,1,5,Dry
1924-10-27,127.74072789856713,1,1,301,1924,1,27,4,,1,5,Dry
1924-10-28,127.74072789856713,1,1,302,1924,1,28,4,1,1,5,Dry
1924-10-29,127.74072789856713,1,1,303,1924,1,29,5,,1,5,Dry
1924-10-30,127.74072789856713,1,1,304,1924,1,30,5,,1,5,Dry
1924-10-31,127.74072789856713,1,1,305,1924,1,31,5,,1,5,Dry
1924-11-01,130.05601868702283,0.9993574483389793,0.9983186090718114,306,1924,2,32,5,,1,5,Dry
1924-11-02,132.397685083733,0.9987075767806141,0.9966180638720877,307,1924,2,33,5,,1,5,Dry
1924-11-03,134.76561626681422,0.9980504160807754,0.9948984448809617,308,1924,2,34,5,,1,5,Dry
1924-11-04,134.36403299269935,0.9981618655803834,0.9951900792956865,309,1924,2,35,5,,1,5,Dry
1924-11-05,136.72037217281124,0.9975079219540977,0.9934788785510844,310,1924,2,36,6,,1,5,Dry
1924-11-06,136.72037217281124,0.9975079219540977,0.9934788785510844,311,1924,2,37,6,,1,5,Dry
1924-11-07,136.72037217281124,0.9975079219540977,0.9934788785510844,312,1924,2,38,6,,1,5,Dry
1924-11-08,136.72037217281124,0.9975079219540977,0.9934788785510844,313,1924,2,39,6,0.98,1,5,Dry
1924-11-09,136.72037217281124,0.9975079219540977,0.9934788785510844,314,1924,2,40,6,,1,5,Dry
1924-11-10,141.5108199672211,0.996178451719655,0.99,315,1924,2,41,6,,1,5,Dry
1924-11-11,147.26839478940352,0.9945805793124868,0.9858834401820402,316,1924,2,42,6,,0.98,5,Dry
1924-11-12,141.5108199672211,0.996178451719655,0.99,317,1924,2,43,7,,0.98,5,Dry
1924-11-13,141.5108199672211,0.996178451719655,0.99,318,1924,2,44,7,,0.98,5,Dry
